mode,#e,M,gates,gate_spec,coupling
normal,0,8,"[[(9, 15)], [(6, 9)], [(6, 7)], [(6, 9)], [(9, 15), (6, 7)], [(14, 15)], [(15, 16), (13, 14)], [(9, 15), (12, 13)], [(13, 14), (6, 9)], [(14, 15), (12, 13)], [(13, 14), (9, 15)], [(14, 15)]]","[[' ZZ'], [' swap'], [' ZZ'], [' ZZ'], [' ZZ', ' swap'], [' ZZ'], [' swap', ' ZZ'], [' ZZ', ' ZZ'], [' swap', ' swap'], [' swap', ' ZZ swap'], [' ZZ', ' ZZ swap'], [' ZZ']]",[]
normal,1,8,"[[(6, 9)], [(5, 6)], [(6, 7)], [(6, 9)], [(9, 15)], [(14, 15)], [(13, 14)], [(5, 14)], [(4, 5), (13, 14)], [(5, 6), (14, 15)], [(5, 14)], [(4, 5)]]","[[' ZZ'], [' ZZ'], [' ZZ swap'], [' ZZ'], [' ZZ'], [' ZZ'], [' ZZ'], [' ZZ'], [' swap', ' swap'], [' ZZ', ' ZZ'], [' ZZ'], [' ZZ']]","[[5, 14]]"
normal,2,8,"[[(5, 6)], [(5, 13), (6, 9)], [(5, 6)], [(6, 9), (4, 5)], [(9, 15), (5, 6)], [(6, 7), (14, 15)], [(6, 14), (9, 15)], [(6, 9), (13, 14)], [(5, 6)], [(5, 13)]]","[[' ZZ'], [' ZZ', ' swap'], [' ZZ'], [' ZZ', ' swap'], [' ZZ', ' ZZ'], [' swap', ' ZZ'], [' ZZ', ' swap'], [' ZZ', ' ZZ'], [' ZZ'], [' ZZ']]","[[5, 13], [6, 14]]"
normal,3,8,"[[(5, 6)], [(5, 13), (6, 9)], [(5, 6)], [(5, 13), (6, 7)], [(13, 14), (5, 6)], [(4, 5), (14, 15)], [(5, 15), (13, 14)], [(5, 13), (9, 15)], [(5, 6)], [(6, 9)]]","[[' ZZ'], [' swap', ' ZZ'], [' ZZ'], [' ZZ', ' swap'], [' ZZ', ' ZZ'], [' swap', ' ZZ'], [' ZZ', ' swap'], [' ZZ', ' ZZ'], [' ZZ'], [' ZZ']]","[[4, 13], [5, 13], [5, 15]]"
normal,4,8,"[[(3, 11)], [(11, 12)], [(8, 11)], [(3, 8), (10, 11)], [(3, 4), (8, 11)], [(2, 3), (4, 13)], [(3, 13)], [(3, 4), (12, 13)], [(3, 11)], [(11, 12)]]","[[' ZZ'], [' ZZ'], [' ZZ'], [' ZZ', ' swap'], [' ZZ', ' ZZ'], [' swap', ' ZZ'], [' ZZ'], [' ZZ', ' ZZ'], [' ZZ'], [' ZZ']]","[[3, 8], [3, 13], [4, 13], [3, 11]]"
normal,5,8,"[[(9, 14)], [(6, 9)], [(9, 15)], [(14, 15), (9, 16)], [(4, 14), (9, 15)], [(4, 5), (13, 14)], [(5, 14)], [(4, 14), (5, 6)], [(9, 14)], [(6, 9)]]","[[' ZZ'], [' ZZ'], [' ZZ'], [' ZZ', ' swap'], [' ZZ', ' ZZ'], [' ZZ', ' swap'], [' ZZ'], [' ZZ', ' ZZ'], [' ZZ'], [' ZZ']]","[[4, 14], [5, 14], [9, 14], [0, 5], [9, 16]]"
normal,6,8,"[[(5, 6)], [(4, 5), (6, 14)], [(5, 6)], [(4, 5)], [(4, 13)], [(13, 17), (0, 4)], [(12, 17), (4, 5)], [(12, 13), (14, 17)], [(4, 12)], [(4, 14)]]","[[' ZZ'], [' swap', ' ZZ'], [' ZZ'], [' ZZ'], [' ZZ'], [' ZZ', ' swap'], [' ZZ', ' ZZ'], [' ZZ', ' ZZ'], [' ZZ'], [' ZZ']]","[[4, 12], [4, 13], [4, 14], [6, 14], [12, 17], [14, 17]]"
normal,7,8,"[[(4, 5)], [(5, 14)], [(0, 5)], [(0, 4), (5, 6)], [(4, 12), (0, 5)], [(12, 17)], [(13, 17)], [(12, 13), (14, 17)], [(5, 13)], [(5, 14)]]","[[' ZZ'], [' ZZ'], [' ZZ'], [' ZZ', ' swap'], [' ZZ', ' ZZ'], [' ZZ'], [' ZZ'], [' ZZ', ' ZZ'], [' ZZ'], [' ZZ']]","[[4, 12], [4, 13], [5, 13], [5, 14], [0, 5], [12, 17], [14, 17]]"
