mode,#e,M,gates,gate_spec,coupling
normal,0,8,"[[(14, 15)], [(13, 14), (9, 15)], [(12, 13), (6, 9), (15, 16)], [(13, 17), (9, 15)], [(12, 13), (6, 9)], [(13, 17), (9, 15)], [(13, 14)], [(13, 17), (14, 15)], [(13, 14)]]","[[' ZZ'], [' swap', ' ZZ'], [' ZZ', ' swap ZZ', ' swap ZZ'], [' ZZ', ' swap'], [' swap', ' ZZ'], [' ZZ', ' ZZ'], [' ZZ'], [' swap', ' ZZ'], [' ZZ']]",[]
normal,1,8,"[[(9, 15)], [(15, 16), (6, 9)], [(5, 6), (14, 15)], [(6, 7), (15, 16)], [(6, 9), (14, 15)], [(13, 14), (6, 7)], [(5, 6), (14, 15)], [(5, 14)], [(13, 14)]]","[[' ZZ'], [' ZZ', ' ZZ'], [' ZZ', ' ZZ'], [' swap', ' swap'], [' ZZ', ' ZZ'], [' swap', ' ZZ'], [' ZZ', ' ZZ'], [' ZZ'], [' ZZ']]","[[5, 14]]"
normal,2,8,"[[(14, 15)], [(15, 16), (13, 14)], [(9, 15), (5, 13)], [(13, 17), (15, 16)], [(13, 14), (9, 15)], [(14, 15), (13, 17)], [(5, 13), (6, 14)], [(5, 6)], [(6, 9)]]","[[' ZZ'], [' ZZ', ' ZZ'], [' ZZ', ' ZZ'], [' swap', ' swap'], [' ZZ', ' ZZ'], [' swap', ' ZZ'], [' ZZ', ' ZZ'], [' ZZ'], [' ZZ']]","[[5, 13], [6, 14]]"
normal,3,8,"[[(6, 9)], [(9, 15), (5, 6)], [(4, 5), (14, 15)], [(15, 16), (5, 6)], [(9, 15), (4, 5)], [(15, 16), (4, 13)], [(14, 15)], [(13, 14)], [(5, 13)]]","[[' ZZ'], [' ZZ', ' ZZ'], [' swap', ' ZZ'], [' swap', ' ZZ'], [' ZZ', ' ZZ'], [' ZZ', ' ZZ'], [' ZZ'], [' ZZ'], [' ZZ']]","[[4, 13], [5, 13], [5, 15]]"
normal,4,8,"[[(11, 12)], [(3, 11), (12, 13)], [(2, 3), (8, 11), (4, 13)], [(13, 14), (2, 8)], [(12, 13), (2, 3)], [(13, 14)], [(4, 13)], [(3, 4)], [(3, 8)]]","[[' ZZ'], [' ZZ', ' ZZ'], [' swap', ' ZZ', ' ZZ'], [' swap', ' ZZ'], [' ZZ', ' ZZ'], [' ZZ'], [' ZZ'], [' ZZ'], [' ZZ']]","[[3, 8], [3, 13], [4, 13], [3, 11]]"
normal,5,8,"[[(5, 6)], [(6, 9), (5, 14)], [(9, 16), (4, 5), (13, 14)], [(6, 9), (4, 14)], [(9, 16), (13, 14)], [(4, 14), (15, 16)], [(14, 15)], [(9, 15)]]","[[' ZZ'], [' ZZ', ' ZZ'], [' swap', ' ZZ', ' ZZ'], [' ZZ', ' ZZ'], [' ZZ', ' swap'], [' ZZ', ' ZZ'], [' ZZ'], [' ZZ']]","[[4, 14], [5, 14], [9, 14], [0, 5], [9, 16]]"
normal,6,8,"[[(14, 17)], [(12, 17), (6, 14)], [(4, 12), (13, 17), (6, 9), (14, 15)], [(9, 15), (12, 13), (4, 14)], [(6, 9), (13, 14)], [(6, 14), (9, 15)], [(6, 9)]]","[[' ZZ'], [' ZZ', ' ZZ'], [' ZZ', ' ZZ', ' swap', ' ZZ'], [' ZZ', ' ZZ', ' swap'], [' ZZ', ' ZZ'], [' ZZ', ' swap'], [' ZZ']]","[[4, 12], [4, 13], [4, 14], [6, 14], [12, 17], [14, 17]]"
normal,7,8,"[[(5, 13)], [(13, 17), (4, 5)], [(13, 14), (12, 17), (0, 5)], [(0, 4), (5, 6), (12, 13), (14, 17)], [(4, 5), (13, 14)], [(5, 13)], [(0, 5)]]","[[' ZZ'], [' ZZ', ' ZZ'], [' ZZ', ' ZZ', ' ZZ'], [' ZZ', ' swap', ' swap', ' ZZ'], [' ZZ', ' ZZ'], [' ZZ'], [' ZZ']]","[[4, 12], [4, 13], [5, 13], [5, 14], [0, 5], [12, 17], [14, 17]]"
