mode,#e,M,gates,gate_spec,coupling
normal,0,8,"
[[(9, 10), (12, 13), (4, 8), (5, 6)], 
[(9, 13), (4, 5), (8, 12)], 
[(9, 10)], 
[(10,)], [(12,)], [(9,)], [(13,)], 
[(9, 13)], [(8, 9)], 
[(6,)], [(4,)], [(9,)], [(5,)], 
[(5, 9)], [(9, 13)],
 [(5,)], [(9,)], [(13,)], [(8,)], 
 [(8, 9)], 
 [(9,)], [(8,)], []]",
"[[' U4', ' U4', ' U4', ' U4'], 
[' U4', ' U4', ' U4'], 
[' swap'], 
['m0'], ['m1'], ['v0'], ['v1'], 
[' U4'], [' swap'],
 ['m3'], ['m2'], ['v2'], ['v3'], 
 [' U4'], [' U4'], 
 ['m5'], ['v5'], ['m4'], ['v4'], 
 ['U4'], ['m6'], ['v6'], []]",[]
normal,1,8,"[[(9, 14), (6, 10), (4, 5), (8, 12)], [(5, 6), (9, 10), (4, 8)], [(5, 9)], [(5,)], [(14,)], [(6,)], [(4,)], [(12,)], [(10,)], [(9,)], [(8,)], [(8, 9), (10, 14)], [(9, 10)], [(8,)], [(10,)], [(9,)], [(14,)], [(14, 9)], [(9,)], [(14,)], []]","[[' U4', ' U4', ' U4', ' U4'], [' U4', ' U4', ' U4'], [' swap'], ['m0'], ['v0'], ['m1'], ['m2'], ['m3'], ['v1'], ['v2'], ['v3'], [' U4', ' U4'], [' U4'], ['m5'], ['m4'], ['v5'], ['v4'], ['U4'], ['m6'], ['v6'], []]","[[9, 14]]"
normal,2,8,"[[(10, 11), (14, 15), (5, 6), (4, 9)], [(5, 9), (6, 10), (11, 15)], [(4,)], [(15,)], [(10,)], [(5,)], [(14,)], [(11,)], [(6,)], [(9,)], [(6, 10), (11, 14)], [(9, 10)], [(10, 11)], [(9,)], [(10,)], [(11,)], [(14,)], [(14, 10)], [(10,)], [(14,)], []]","[[' U4', ' U4', ' U4', ' U4'], [' U4', ' U4', ' U4'], ['m3'], ['m0'], ['m1'], ['m2'], ['v0'], ['v1'], ['v2'], ['v3'], [' swap', ' U4'], [' U4'], [' U4'], ['m5'], ['v5'], ['m4'], ['v4'], ['U4'], ['m6'], ['v6'], []]","[[11, 14], [4, 9]]"
normal,3,8,"[[(6, 7), (11, 14), (10, 13), (5, 9)], [(7, 11), (9, 13), (10, 14)], [(5,)], [(7,)], [(14,)], [(13,)], [(6,)], [(11,)], [(10,)], [(9,)], [(9, 10), (6, 11)], [(10, 11)], [(9,)], [(11,)], [(6,)], [(10,)], [(6, 10)], [(10,)], [(6,)], []]","[[' U4', ' U4', ' U4', ' U4'], [' U4', ' U4', ' U4'], ['m3'], ['m0'], ['m1'], ['m2'], ['v0'], ['v1'], ['v2'], ['v3'], [' U4', ' U4'], [' U4'], ['m5'], ['m4'], ['v4'], ['v5'], ['U4'], ['m6'], ['v6'], []]","[[11, 14], [10, 13], [6, 11]]"
