compiler,#e,M,gates,gate_spec,coupling
tket,0,8,"[[(0, 4), (1, 5), (2, 3), (6, 7)], [(0, 1), (2, 6), (4, 5)], [(7,)], [(1,)], [(2, 3), (5, 6)], [(3,)], [(5,)], [(0,)], [(2,)], [(4,)], [(6,)], [(0, 4), (2, 6)], [(2,)], [(5, 6)], [(4, 5)], [(0, 4)], [(0,)], [(4,)], [(5,)], [(5, 4)], [(4,)], [(5,)], []]","[[' U4', ' U4', ' U4', ' U4'], [' U4', ' swap', ' swap'], ['m3'], ['m0'], [' U4', ' U4'], ['m2'], ['m1'], ['v1'], ['v3'], ['v0'], ['v2'], [' U4', ' U4'], ['m5'], [' swap'], [' swap'], [' U4'], ['m4'], ['v5'], ['v4'], ['U4'], ['m6'], ['v6'], []]",[]
tket,1,8,"[[(1, 5), (2, 3), (6, 10), (9, 14)], [(1, 2)], [(3,)], [(5, 6), (10, 14)], [(1,)], [(6,)], [(14,)], [(2,)], [(5,)], [(9,)], [(10,)], [(5, 6), (9, 10)], [(2, 6)], [(2,)], [(10, 6)], [(10,)], [(6,)], [(9,)], [(9, 10)], [(6, 10)], [(6,)], [(10,)], []]","[[' U4', ' U4', ' U4', ' U4'], [' U4'], ['m3'], [' U4', ' U4'], ['m2'], ['m1'], ['m0'], ['v3'], ['v2'], ['v0'], ['v1'], [' swap', ' U4'], [' U4'], ['m5'], ['U4'], ['m4'], ['v5'], ['v4'], [' swap'], [' U4'], ['m6'], ['v6'], []]","[[9, 14]]"
tket,2,8,"[[(4, 5), (8, 12), (9, 10), (13, 14)], [(4, 8), (10, 14)], [(12,)], [(4, 5), (8, 9), (13, 14)], [(5,)], [(10, 9)], [(14,)], [(10,)], [(4,)], [(8,)], [(9,)], [(13,)], [(9, 4)], [(4,)], [(9, 13)], [(8, 9)], [(9, 13)], [(9,)], [(8,)], [(13,)], [(12, 13)], [(8, 12)], [(12,)], [(8,)], []]","[[' U4', ' U4', ' U4', ' U4'], [' swap', ' swap'], ['m3'], [' U4', ' swap', ' U4'], ['m2'], ['U4'], ['m0'], ['m1'], ['v3'], ['v0'], ['v2'], ['v1'], ['U4'], ['m5'], [' swap'], [' U4'], [' U4'], ['m4'], ['v4'], ['v5'], [' swap'], [' U4'], ['m6'], ['v6'], []]","[[11, 14], [4, 9]]"
tket,3,8,"[[(1, 2), (3, 7), (6, 10), (11, 14)], [(1,)], [(2, 3), (6, 7), (10, 14)], [(3,)], [(6,)], [(14,)], [(2,)], [(7,)], [(10,)], [(11,)], [(6, 7), (10, 11)], [(2, 6)], [(2,)], [(10, 6)], [(10,)], [(6,)], [(11,)], [(11, 6)], [(6,)], [(11,)], []]","[[' U4', ' U4', ' U4', ' U4'], ['m3'], [' U4', ' U4', ' U4'], ['m2'], ['m1'], ['m0'], ['v3'], ['v2'], ['v1'], ['v0'], [' swap', ' U4'], [' U4'], ['m5'], ['U4'], ['m4'], ['v5'], ['v4'], ['U4'], ['m6'], ['v6'], []]","[[11, 14], [10, 13], [6, 11]]"
