#e,compiler,fidelity no crosstalk,fidelity,g1,g2,D,avg idling time,idling time,qubit lifetime,avg two qubit gate fidelity,two qubit gate fidelity,gates,gate_spec
0,normal,0.6490572438618091,0.5985978719419218,42,31,590,383.75,"[455, 305, 395, 290, 225, 455, 460, 485]","[590, 590, 590, 590, 590, 590, 590, 590]",0.9884193548387096,"[0.991, 0.991, 0.986, 0.986, 0.986, 0.986, 0.986, 0.986, 0.986, 0.986, 0.986, 0.986, 0.991, 0.986, 0.986, 0.991, 0.991, 0.991, 0.991, 0.991, 0.986, 0.986, 0.986, 0.986, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991]","[(2, 6), [2], [6], (2, 6), (5, 6), [5], [6], (5, 6), (2, 3), [2], [3], (2, 3), (1, 5), [1], [5], (1, 5), (6, 7), [6], [7], (6, 7), (6, 10), [6], [10], (6, 10), [6], [10], (6, 10), [6], [10], (3, 7), [3], [7], (3, 7), [5], [9], (5, 9), [5], [9], (5, 9), [5], [9], (5, 9), [5], [9], (2, 6), [2], [6], (2, 6), (2, 3), [2], [3], (2, 3), [2], [3], (2, 3), [2], [3], (6, 7), [6], [7], (6, 7), (1, 2), [1], [2], (1, 2), (1, 5), [1], [5], (1, 5), (5, 6), [5], [6], (5, 6)]","['syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc']"
1,normal,0.6728395712754824,0.5959224906006814,42,31,465,258.75,"[270, 330, 270, 190, 210, 140, 330, 330]","[465, 465, 465, 465, 465, 465, 465, 465]",0.9871290322580646,"[0.991, 0.991, 0.986, 0.986, 0.986, 0.986, 0.986, 0.986, 0.991, 0.986, 0.986, 0.986, 0.986, 0.986, 0.986, 0.986, 0.986, 0.991, 0.986, 0.986, 0.986, 0.986, 0.991, 0.986, 0.986, 0.986, 0.986, 0.986, 0.986, 0.991, 0.991]","[(7, 10), [7], [10], (7, 10), (9, 10), [9], [10], (9, 10), (3, 7), [3], [7], (3, 7), [3], [7], (3, 7), [3], [7], (2, 3), [2], [3], (2, 3), (6, 10), [6], [10], (6, 10), (5, 9), [5], [9], (5, 9), (1, 5), [1], [5], (1, 5), [1], [5], (1, 5), [1], [5], (2, 6), [2], [6], (2, 6), (3, 7), [3], [7], (3, 7), (1, 2), [1], [2], (1, 2), (5, 9), [5], [9], (5, 9), [6], [7], (6, 7), [6], [7], (6, 7), [6], [7], (6, 7), [6], [7], (1, 5), [1], [5], (1, 5), (5, 6), [5], [6], (5, 6)]","['syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc']"
2,normal,0.6728395712754824,0.5959224906006814,42,31,465,258.75,"[140, 270, 330, 210, 330, 330, 190, 270]","[465, 465, 465, 465, 465, 465, 465, 465]",0.9871290322580646,"[0.991, 0.991, 0.986, 0.986, 0.986, 0.986, 0.986, 0.986, 0.991, 0.986, 0.986, 0.986, 0.986, 0.986, 0.986, 0.986, 0.986, 0.991, 0.986, 0.986, 0.986, 0.986, 0.991, 0.986, 0.986, 0.986, 0.986, 0.986, 0.986, 0.991, 0.991]","[(6, 9), [6], [9], (6, 9), (9, 13), [9], [13], (9, 13), (6, 7), [6], [7], (6, 7), [6], [7], (6, 7), [6], [7], (7, 11), [7], [11], (7, 11), (9, 10), [9], [10], (9, 10), (13, 14), [13], [14], (13, 14), (14, 15), [14], [15], (14, 15), [14], [15], (14, 15), [14], [15], (6, 7), [6], [7], (6, 7), (10, 11), [10], [11], (10, 11), (13, 14), [13], [14], (13, 14), (11, 15), [11], [15], (11, 15), [6], [10], (6, 10), [6], [10], (6, 10), [6], [10], (6, 10), [6], [10], (14, 15), [14], [15], (14, 15), (10, 14), [10], [14], (10, 14)]","['syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc']"
3,normal,0.6896753815954042,0.5985066889992063,36,30,410,225.0,"[275, 215, 275, 275, 135, 275, 45, 305]","[410, 410, 410, 410, 410, 410, 410, 410]",0.9863333333333333,"[0.991, 0.991, 0.986, 0.986, 0.986, 0.986, 0.986, 0.986, 0.986, 0.986, 0.986, 0.986, 0.991, 0.986, 0.986, 0.991, 0.991, 0.991, 0.981, 0.981, 0.981, 0.981, 0.981, 0.981, 0.986, 0.986, 0.986, 0.986, 0.991, 0.991]","[(12, 13), [12], [13], (12, 13), (10, 13), [10], [13], (10, 13), (8, 12), [8], [12], (8, 12), (6, 10), [6], [10], (6, 10), [6], [10], (6, 10), [6], [10], (9, 13), [9], [13], (9, 13), (13, 14), [13], [14], (13, 14), [13], [14], (13, 14), [13], [14], (5, 6), [5], [6], (5, 6), (8, 9), [8], [9], (8, 9), (12, 13), [12], [13], (12, 13), (5, 8), [5], [8], (5, 8), (6, 10), [6], [10], (6, 10), (5, 10), [5], [10], (5, 10), (9, 13), [9], [13], (9, 13), (10, 13), [10], [13], (10, 13)]","['syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc']"
