M,D,g1,g2,#extra_e,extra_edge,cost,f,csf,crosstalk,f_ct,csf_ct,f_dec_ratio,ct_ratio,f_imp_r,f_imp_r_ct,csf_imp_r,csf_imp_r_ct
8,35,74,39,0,[],56,0.5521143364124668,0.00985918457879405,33,0.4671573745840572,0.008342095974715306,0.15387566709541295,0.8461538461538461,0.0,0.0,1.0,1.0
8,31,63,33,1,"[[6, 9]]",57,0.5982822752689702,0.01049618026787667,27,0.5218360833373895,0.009155019005919116,0.12777612690800957,0.8181818181818182,0.0836202500309878,0.11704558619462355,1.0646093684514968,1.0974482952087534
8,35,72,36,2,"[[5, 8], [5, 10]]",58,0.5656113401989511,0.009751919658602604,27,0.4933397138130807,0.008505857134708288,0.12777612690800924,0.75,0.024446030280947377,0.056046079230442386,0.9891203050988456,1.0196306971880136
8,31,63,33,3,"[[4, 9], [7, 10], [6, 9]]",59,0.5982822752689702,0.010140377546931695,27,0.5218360833373895,0.008844679378599823,0.12777612690800957,0.8181818181818182,0.0836202500309878,0.11704558619462355,1.0285209152836492,1.0602466580830328
8,31,63,33,3,"[[4, 9], [7, 10], [6, 9]]",59,0.5982822752689702,0.010140377546931695,27,0.5218360833373895,0.008844679378599823,0.12777612690800957,0.8181818181818182,0.0836202500309878,0.11704558619462355,1.0285209152836492,1.0602466580830328
8,31,63,33,4,"[[9, 12], [11, 14], [9, 14], [5, 8]]",60,0.5982822752689702,0.009971371254482836,27,0.5218360833373895,0.008697268055623158,0.12777612690800957,0.8181818181818182,0.0836202500309878,0.11704558619462355,1.011378900028922,1.0425758804483154
