mode,#e,M,gates,gate_spec,coupling
normal,0,8,"[[(8, 9)], [(9, 13), (4, 8)], [(8, 12), (5, 9)], [(12, 13), (4, 5), (9, 10)], [(4, 8), (5, 9), (13, 14)], [(8, 9)], [(8, 12), (9, 13)], [(12, 13)]]","[[' ZZ'], [' ZZ', ' ZZ'], [' swap', ' ZZ'], [' ZZ', ' ZZ', ' swap'], [' ZZ', ' ZZ', ' ZZ swap'], [' ZZ'], [' swap', ' ZZ'], [' ZZ']]",[]
normal,1,8,"[[(6, 10)], [(7, 10), (5, 6)], [(2, 6), (3, 7), (9, 10)], [(2, 3), (5, 9), (10, 11)], [(5, 6), (9, 10), (3, 7)], [(6, 10)], [(7, 10)], [(6, 7)]]","[[' ZZ'], [' ZZ', ' ZZ'], [' swap', ' swap', ' ZZ'], [' ZZ', ' ZZ', ' swap'], [' ZZ', ' ZZ', ' ZZ'], [' ZZ'], [' ZZ'], [' ZZ']]","[[7, 10]]"
normal,2,8,"[[(6, 10)], [(6, 11), (9, 10)], [(5, 6), (10, 11)], [(5, 9), (10, 14), (2, 6), (11, 15)], [(5, 6), (9, 10)], [(6, 10)], [(6, 11)], [(10, 11)]]","[[' ZZ'], [' ZZ', ' ZZ'], [' ZZ', ' ZZ'], [' ZZ', ' swap', ' swap', ' ZZ swap'], [' ZZ', ' ZZ'], [' ZZ'], [' ZZ'], [' ZZ']]","[[6, 11], [6, 9]]"
normal,3,8,"[[(5, 10)], [(6, 10), (5, 8)], [(8, 12), (10, 13), (5, 6)], [(4, 5), (12, 13)], [(8, 12), (9, 13), (5, 6)], [(8, 9)], [(5, 9)], [(5, 8)]]","[[' ZZ'], [' ZZ', ' ZZ'], [' swap', ' ZZ', ' ZZ'], [' swap', ' ZZ'], [' ZZ', ' ZZ', ' ZZ'], [' ZZ'], [' ZZ'], [' ZZ']]","[[10, 13], [5, 8], [5, 10]]"
