compiler,#e,M,gates,gate_spec,coupling
tket,5,8,"[[(1, 2)], [(0, 1), (2, 5)], [(2, 7), (0, 4)], [(4, 8), (2, 3), (6, 7)], [(0, 4), (1, 2)], [(4, 8)], [(8, 9)], [(5, 9)], [(5, 6)], [(2, 6), (4, 5)], [(2, 5)]]","[[' ZZ'], [' ZZ', ' ZZ'], [' ZZ', ' ZZ'], [' swap', ' swap', ' swap'], [' ZZ', ' ZZ'], [' ZZ'], [' swap'], [' ZZ'], [' ZZ'], [' ZZ', ' swap'], [' ZZ']]","[[2, 7], [11, 14], [2, 5], [9, 14], [7, 10]]"
tket,4,8,"[[(1, 2)], [(0, 1), (2, 5)], [(2, 7), (0, 4)], [(4, 8), (2, 3), (6, 7)], [(0, 4), (1, 2)], [(4, 8)], [(8, 9)], [(5, 9)], [(5, 6)], [(2, 6), (4, 5)], [(2, 5)]]","[[' ZZ'], [' ZZ', ' ZZ'], [' ZZ', ' ZZ'], [' swap', ' swap', ' swap'], [' ZZ', ' ZZ'], [' ZZ'], [' swap'], [' ZZ'], [' ZZ'], [' ZZ', ' swap'], [' ZZ']]","[[2, 7], [2, 5], [9, 14], [7, 10]]"
tket,3,8,"[[(4, 9)], [(0, 4), (5, 9)], [(0, 1), (4, 8), (6, 9)], [(1, 2), (8, 9)], [(0, 1)], [(1, 2)], [(2, 5)], [(5, 6)], [(6, 9)], [(5, 9)], [(1, 5)]]","[[' ZZ'], [' ZZ', ' ZZ'], [' ZZ', ' ZZ', ' ZZ'], [' swap', ' swap'], [' ZZ'], [' ZZ'], [' ZZ'], [' ZZ'], [' ZZ'], [' swap'], [' ZZ']]","[[1, 4], [4, 9], [6, 9]]"
tket,2,8,"[[(4, 9)], [(0, 4), (5, 9)], [(0, 1), (4, 8), (6, 9)], [(1, 2), (8, 9)], [(0, 1)], [(1, 2)], [(2, 5)], [(5, 6)], [(6, 9)], [(5, 9)], [(1, 5)]]","[[' ZZ'], [' ZZ', ' ZZ'], [' ZZ', ' ZZ', ' ZZ'], [' swap', ' swap'], [' ZZ'], [' ZZ'], [' ZZ'], [' ZZ'], [' ZZ'], [' swap'], [' ZZ']]","[[9, 12], [6, 9]]"
tket,1,8,"[[(4, 9)], [(0, 4), (5, 9)], [(0, 1), (4, 8), (6, 9)], [(1, 2), (8, 9)], [(0, 1)], [(1, 2)], [(2, 5)], [(5, 6)], [(6, 9)], [(5, 9)], [(1, 5)]]","[[' ZZ'], [' ZZ', ' ZZ'], [' ZZ', ' ZZ', ' ZZ'], [' swap', ' swap'], [' ZZ'], [' ZZ'], [' ZZ'], [' ZZ'], [' ZZ'], [' swap'], [' ZZ']]","[[5, 10]]"
tket,0,8,"[[(4, 9)], [(0, 4), (5, 9)], [(0, 1), (4, 8), (6, 9)], [(1, 2), (8, 9)], [(0, 1)], [(1, 2)], [(2, 5)], [(5, 6)], [(6, 9)], [(5, 9)], [(1, 5)]]","[[' ZZ'], [' ZZ', ' ZZ'], [' ZZ', ' ZZ', ' ZZ'], [' swap', ' swap'], [' ZZ'], [' ZZ'], [' ZZ'], [' ZZ'], [' ZZ'], [' swap'], [' ZZ']]",[]
