compiler,#e,M,gates,gate_spec,coupling
tket,5,8,"[[(4, 9)], [(0, 4), (6, 9)], [(1, 4), (5, 9)], [(1, 5), (4, 8)], [(5, 6), (1, 2)], [(0, 1), (6, 9)], [(1, 4)], [(0, 4)], [(4, 9)]]","[[' ZZ'], [' ZZ', ' ZZ'], [' ZZ', ' ZZ'], [' ZZ', ' swap'], [' ZZ', ' ZZ swap'], [' ZZ', ' swap'], [' ZZ'], [' ZZ'], [' ZZ']]","[[9, 12], [1, 4], [1, 6], [4, 9], [6, 9]]"
tket,4,8,"[[(4, 9)], [(0, 4), (6, 9)], [(1, 4), (5, 9)], [(1, 5), (4, 8)], [(5, 6), (1, 2)], [(0, 1), (6, 9)], [(1, 4)], [(0, 4)], [(4, 9)]]","[[' ZZ'], [' ZZ', ' ZZ'], [' ZZ', ' ZZ'], [' ZZ', ' swap'], [' ZZ', ' ZZ swap'], [' ZZ', ' swap'], [' ZZ'], [' ZZ'], [' ZZ']]","[[8, 13], [10, 13], [5, 8], [6, 9]]"
tket,3,8,"[[(4, 9)], [(0, 4), (5, 9)], [(1, 4), (6, 9)], [(1, 6), (4, 8)], [(1, 2), (5, 6)], [(0, 1)], [(1, 4)], [(0, 4)], [(4, 5)]]","[[' ZZ'], [' ZZ', ' ZZ'], [' ZZ', ' ZZ'], [' ZZ', ' swap'], [' ZZ swap', ' ZZ'], [' ZZ'], [' ZZ'], [' ZZ'], [' ZZ']]","[[2, 7], [2, 5], [7, 10]]"
tket,2,8,"[[(4, 9)], [(0, 4), (5, 9)], [(1, 4), (6, 9)], [(1, 6), (4, 8)], [(1, 2), (5, 6)], [(0, 1)], [(1, 4)], [(0, 4)], [(4, 5)]]","[[' ZZ'], [' ZZ', ' ZZ'], [' ZZ', ' ZZ'], [' ZZ', ' swap'], [' ZZ swap', ' ZZ'], [' ZZ'], [' ZZ'], [' ZZ'], [' ZZ']]","[[4, 9], [6, 9]]"
tket,1,8,"[[(4, 9)], [(0, 4), (5, 9)], [(1, 4), (6, 9)], [(1, 6), (4, 8)], [(1, 2), (5, 6)], [(0, 1)], [(1, 4)], [(0, 4)], [(4, 5)]]","[[' ZZ'], [' ZZ', ' ZZ'], [' ZZ', ' ZZ'], [' ZZ', ' swap'], [' ZZ swap', ' ZZ'], [' ZZ'], [' ZZ'], [' ZZ'], [' ZZ']]","[[10, 15]]"
tket,0,8,"[[(4, 9)], [(0, 4), (5, 9)], [(1, 4), (6, 9)], [(1, 6), (4, 8)], [(1, 2), (5, 6)], [(0, 1)], [(1, 4)], [(0, 4)], [(4, 5)]]","[[' ZZ'], [' ZZ', ' ZZ'], [' ZZ', ' ZZ'], [' ZZ', ' swap'], [' ZZ swap', ' ZZ'], [' ZZ'], [' ZZ'], [' ZZ'], [' ZZ']]",[]
