compiler,#e,M,gates,gate_spec,coupling
tket,8,10,"[[(9, 10)], [(10, 13), (9, 12)], [(8, 13), (5, 10)], [(4, 8), (13, 14), (5, 9)], [(1, 4), (10, 14), (8, 12)], [(6, 10), (4, 5), (9, 12)], [(1, 6), (5, 9)], [(1, 2)], [(2, 6)], [(2, 5)]]","[[' ZZ'], [' ZZ', ' ZZ'], [' ZZ', ' ZZ'], [' ZZ', ' ZZ', ' ZZ'], [' ZZ', ' swap', ' ZZ'], [' swap', ' ZZ', ' swap'], [' ZZ', ' swap'], [' ZZ'], [' ZZ'], [' ZZ']]","[[1, 4], [2, 7], [8, 13], [1, 6], [10, 13], [4, 9], [7, 10], [5, 10]]"
tket,5,10,"[[(9, 10)], [(10, 13), (9, 12)], [(8, 13), (5, 10)], [(4, 8), (13, 14), (5, 9)], [(1, 4), (10, 14), (8, 12)], [(6, 10), (4, 5), (9, 12)], [(1, 6), (5, 9)], [(1, 2)], [(2, 6)], [(2, 5)]]","[[' ZZ'], [' ZZ', ' ZZ'], [' ZZ', ' ZZ'], [' ZZ', ' ZZ', ' ZZ'], [' ZZ', ' swap', ' ZZ'], [' swap', ' ZZ', ' swap'], [' ZZ', ' swap'], [' ZZ'], [' ZZ'], [' ZZ']]","[[2, 7], [8, 13], [2, 5], [7, 10], [5, 8]]"
tket,4,10,"[[(9, 10)], [(10, 13), (9, 12)], [(8, 13), (6, 10)], [(5, 8), (6, 9), (13, 14)], [(4, 5), (9, 13), (8, 12)], [(4, 9), (5, 6)], [(1, 4)], [(1, 6)], [(6, 9)], [(9, 12)], [(6, 9)]]","[[' ZZ'], [' ZZ', ' ZZ'], [' ZZ', ' ZZ'], [' ZZ', ' ZZ', ' ZZ swap'], [' ZZ', ' swap', ' ZZ'], [' ZZ', ' ZZ'], [' ZZ'], [' swap'], [' ZZ'], [' swap'], [' ZZ']]","[[1, 4], [8, 13], [10, 13], [6, 9]]"
tket,3,10,"[[(9, 10)], [(10, 13), (9, 12)], [(8, 13), (6, 10)], [(5, 8), (6, 9), (13, 14)], [(4, 5), (9, 13), (8, 12)], [(4, 9), (5, 6)], [(1, 4)], [(1, 6)], [(6, 9)], [(9, 12)], [(6, 9)]]","[[' ZZ'], [' ZZ', ' ZZ'], [' ZZ', ' ZZ'], [' ZZ', ' ZZ', ' ZZ swap'], [' ZZ', ' swap', ' ZZ'], [' ZZ', ' ZZ'], [' ZZ'], [' swap'], [' ZZ'], [' swap'], [' ZZ']]","[[8, 13], [1, 6], [10, 13]]"
tket,2,10,"[[(9, 13)], [(8, 13), (9, 12)], [(5, 8), (10, 13)], [(5, 6), (9, 10), (4, 8)], [(9, 12), (2, 6)], [(5, 9), (6, 10)], [(4, 5)], [(2, 5)], [(2, 7)], [(7, 10)], [(5, 10)], [(9, 10)]]","[[' ZZ'], [' ZZ', ' ZZ'], [' ZZ', ' ZZ'], [' ZZ', ' ZZ', ' ZZ'], [' swap', ' ZZ'], [' ZZ', ' ZZ'], [' swap'], [' ZZ'], [' ZZ'], [' swap'], [' ZZ'], [' ZZ']]","[[8, 13], [5, 8]]"
tket,1,10,"[[(9, 13)], [(8, 13), (9, 12)], [(5, 8), (10, 13)], [(5, 6), (9, 10), (4, 8)], [(9, 12), (2, 6)], [(5, 9), (6, 10)], [(4, 5)], [(2, 5)], [(2, 7)], [(7, 10)], [(5, 10)], [(9, 10)]]","[[' ZZ'], [' ZZ', ' ZZ'], [' ZZ', ' ZZ'], [' ZZ', ' ZZ', ' ZZ'], [' swap', ' ZZ'], [' ZZ', ' ZZ'], [' swap'], [' ZZ'], [' ZZ'], [' swap'], [' ZZ'], [' ZZ']]","[[1, 4]]"
tket,0,10,"[[(9, 13)], [(8, 13), (9, 12)], [(5, 8), (10, 13)], [(5, 6), (9, 10), (4, 8)], [(9, 12), (2, 6)], [(5, 9), (6, 10)], [(4, 5)], [(2, 5)], [(2, 7)], [(7, 10)], [(5, 10)], [(9, 10)]]","[[' ZZ'], [' ZZ', ' ZZ'], [' ZZ', ' ZZ'], [' ZZ', ' ZZ', ' ZZ'], [' swap', ' ZZ'], [' ZZ', ' ZZ'], [' swap'], [' ZZ'], [' ZZ'], [' swap'], [' ZZ'], [' ZZ']]",[]
tket,7,10,"[[(8, 9)], [(8, 12), (9, 13)], [(5, 8)], [(5, 9)], [(9, 12)], [(6, 9)], [(6, 10), (4, 9)], [(10, 14)], [(13, 14), (5, 10)], [(9, 13), (11, 14)], [(4, 9), (10, 14), (6, 11)], [(9, 10)], [(4, 9)], [(9, 10)], [(10, 11)]]","[[' ZZ'], [' ZZ', ' ZZ'], [' ZZ'], [' ZZ'], [' swap'], [' ZZ'], [' ZZ', ' ZZ'], [' ZZ'], [' swap', ' ZZ'], [' swap', ' swap'], [' ZZ', ' swap', ' ZZ'], [' ZZ'], [' swap'], [' ZZ'], [' ZZ']]","[[2, 7], [8, 13], [11, 14], [2, 5], [5, 8], [6, 11], [5, 10]]"
tket,6,10,"[[(5, 9)], [(5, 8), (9, 12)], [(5, 6), (8, 13)], [(10, 13), (6, 9), (4, 8), (2, 5)], [(10, 14), (12, 13)], [(13, 14), (6, 10)], [(9, 13)], [(4, 9)], [(5, 9)], [(4, 5), (9, 12)], [(5, 9)]]","[[' ZZ'], [' ZZ', ' ZZ'], [' ZZ', ' ZZ'], [' ZZ', ' ZZ', ' ZZ', ' swap'], [' ZZ', ' ZZ'], [' swap', ' ZZ'], [' swap'], [' ZZ'], [' ZZ'], [' ZZ', ' swap'], [' ZZ']]","[[9, 12], [2, 7], [10, 13], [2, 5], [7, 10], [5, 8]]"
