mode,#e,M,gates,gate_spec,coupling
normal,0,8,"[[(6, 10)], [(5, 6), (9, 10)], [(2, 6), (5, 9), (10, 11)], [(2, 3), (9, 10), (5, 6)], [(3, 7), (10, 11)], [(2, 3)], [(2, 6)], [(6, 7)], [(7, 11)]]","[[' ZZ'], [' ZZ', ' ZZ'], [' swap', ' ZZ', ' ZZ'], [' ZZ', ' swap', ' ZZ'], [' ZZ', ' ZZ'], [' swap'], [' ZZ'], [' ZZ'], [' ZZ']]",[]
normal,1,8,"[[(9, 10)], [(5, 9), (6, 10)], [(9, 13), (5, 6), (7, 10)], [(8, 9), (13, 14), (6, 7)], [(5, 9), (10, 14)], [(9, 13)], [(9, 10)], [(7, 10)]]","[[' ZZ'], [' ZZ', ' ZZ'], [' ZZ', ' ZZ', ' ZZ'], [' swap', ' ZZ', ' ZZ'], [' ZZ', ' swap'], [' ZZ'], [' ZZ'], [' ZZ']]","[[7, 10]]"
normal,2,8,"[[(5, 6)], [(1, 5), (2, 6)], [(1, 2), (4, 5), (6, 9)], [(0, 1), (4, 8), (2, 6)], [(0, 4), (6, 9)], [(4, 8)], [(8, 9)]]","[[' ZZ'], [' ZZ', ' ZZ'], [' ZZ', ' ZZ', ' ZZ'], [' ZZ', ' ZZ', ' swap'], [' swap ZZ', ' ZZ'], [' ZZ'], [' ZZ']]","[[6, 11], [6, 9]]"
normal,3,8,"[[(8, 12)], [(8, 9), (12, 13)], [(9, 13), (4, 8)], [(4, 5), (9, 10), (13, 14)], [(5, 10), (12, 13)], [(4, 5), (13, 14)], [(5, 10)], [(10, 13)]]","[[' ZZ'], [' ZZ', ' ZZ'], [' ZZ', ' ZZ'], [' ZZ', ' ZZ', ' swap'], [' swap', ' ZZ'], [' ZZ', ' ZZ'], [' ZZ'], [' ZZ']]","[[10, 13], [5, 8], [5, 10]]"
