mode,#e,M,gates,gate_spec,coupling
normal,0,8,"[[(10, 14)], [(13, 14), (10, 11)], [(14, 15), (12, 13)], [(11, 15), (8, 12), (9, 13)], [(10, 11), (8, 9)], [(11, 15), (8, 12)], [(8, 9), (10, 11)], [(9, 10)]]","[[' ZZ'], [' ZZ', ' swap'], [' ZZ', ' ZZ'], [' ZZ', ' ZZ', ' ZZ'], [' ZZ', ' swap'], [' swap', ' ZZ'], [' ZZ', ' ZZ'], [' ZZ']]",[]
normal,1,8,"[[(6, 7)], [(5, 6)], [(6, 10), (4, 5)], [(7, 10), (4, 8), (5, 9)], [(10, 14), (8, 9)], [(7, 10), (4, 8)], [(8, 9), (10, 14)], [(9, 10)]]","[[' ZZ'], [' ZZ'], [' ZZ', ' ZZ'], [' ZZ', ' ZZ', ' ZZ'], [' swap', ' swap'], [' ZZ', ' ZZ'], [' ZZ', ' ZZ'], [' ZZ']]","[[7, 10]]"
normal,2,8,"[[(8, 9)], [(4, 8), (6, 9)], [(8, 9), (6, 11)], [(4, 8), (6, 7), (10, 11)], [(4, 5), (8, 9), (6, 10), (7, 11)], [(5, 9), (6, 7)], [(5, 6)]]","[[' ZZ'], [' swap', ' ZZ'], [' ZZ', ' ZZ'], [' ZZ', ' ZZ', ' ZZ'], [' ZZ', ' swap', ' swap', ' ZZ'], [' ZZ', ' ZZ'], [' ZZ']]","[[6, 11], [6, 9]]"
normal,3,8,"[[(10, 13)], [(5, 10)], [(10, 14), (5, 8)], [(10, 11), (13, 14), (4, 5), (8, 9)], [(10, 13), (4, 8), (5, 9)], [(4, 5), (10, 14)], [(5, 10)]]","[[' ZZ'], [' ZZ'], [' ZZ', ' ZZ'], [' swap', ' ZZ', ' ZZ', ' ZZ'], [' ZZ', ' ZZ', ' swap'], [' ZZ', ' ZZ'], [' ZZ']]","[[10, 13], [5, 8], [5, 10]]"
