M,D,g1,g2,#extra_e,extra_edge,cost,f,csf,crosstalk,f_ct,csf_ct,f_dec_ratio,ct_ratio,f_imp_r,f_imp_r_ct,csf_imp_r,csf_imp_r_ct
10,57,110,54,0,[],56,0.3661276731070454,0.0065379941626258,39,0.300519706209564,0.0053664233251707,0.1791942311836656,0.7222222222222222,0.0,0.0,1.0,1.0
10,55,85,45,1,"[[5, 10]]",57,0.4015964132631456,0.0070455511098797,27,0.3502819789962325,0.0061452978771268,0.1277761269080095,0.6,0.09687533273599379,0.16558738664534484,1.0776319058458832,1.1451384851252533
10,53,92,51,2,"[[9, 14], [5, 10]]",58,0.3903883917164024,0.0067308343399379,36,0.3253375469423582,0.0056092680507303,0.1666310939422101,0.7058823529411765,0.06626300165588363,0.08258307265709827,1.0294953119436023,1.045252621875833
10,37,92,51,3,"[[1, 4], [1, 6], [5, 10]]",59,0.4581250215882075,0.0077648308743763,48,0.3592805737958225,0.0060895012507766,0.21575867532778595,0.9411764705882353,0.25127122377953837,0.19553082999915591,1.1876472632483623,1.134741126778868
10,55,85,45,4,"[[11, 14], [9, 14], [7, 10], [6, 11]]",60,0.4015964132631456,0.0066932735543857,21,0.3610867723725817,0.0060181128728763,0.10087152064284005,0.4666666666666667,0.09687533273599379,0.20154108004079427,1.0237503105535868,1.1214383413714144
10,43,90,48,5,"[[3, 6], [8, 13], [2, 5], [5, 8], [6, 9]]",61,0.4419930367487721,0.0072457874876847,36,0.3683432535204848,0.006038413992139,0.16663109394220996,0.75,0.20721013245984768,0.22568752035057846,1.108258482258209,1.1252213301579082
10,43,90,48,5,"[[3, 6], [8, 13], [2, 5], [5, 8], [6, 9]]",61,0.4419930367487721,0.0072457874876847,36,0.3683432535204848,0.006038413992139,0.16663109394220996,0.75,0.20721013245984768,0.22568752035057846,1.108258482258209,1.1252213301579082
