M,D,g1,g2,#extra_e,extra_edge,cost,f,csf,crosstalk,f_ct,csf_ct,f_dec_ratio,ct_ratio,f_imp_r,f_imp_r_ct,csf_imp_r,csf_imp_r_ct
10,55,110,57,0,[],,0.3646110243558481,,39,0.2992748321653131,,0.17919423118366565,0.6842105263157895,0.0,0.0,,
10,59,103,54,1,"[[5, 10]]",,0.3588791163531347,,36,0.2990786966021981,,0.16663109394221023,0.6666666666666666,-0.01572061078745453,-0.0006553693863794204,,
10,53,101,54,2,"[[10, 13], [6, 9]]",,0.3810713428610532,,45,0.3034260796378608,,0.20375518830735997,0.8333333333333334,0.04514487331886162,0.013871020969296311,,
10,53,101,54,3,"[[11, 14], [9, 14], [7, 10]]",,0.3810713428610532,,39,0.3127855565509396,,0.17919423118366598,0.7222222222222222,0.04514487331886162,0.045144873318861196,,
10,43,99,51,4,"[[9, 14], [7, 10], [5, 8], [5, 10]]",,0.431444386213835,,45,0.3435353540566818,,0.20375518830735984,0.8823529411764706,0.1833004418230641,0.14789256273618132,,
10,43,90,48,5,"[[2, 7], [2, 5], [5, 8], [6, 11], [6, 9]]",,0.4419930367487721,,39,0.3627904343400422,,0.17919423118366565,0.8125,0.21223168588945843,0.21223168588945845,,
10,43,90,48,5,"[[11, 14], [2, 5], [9, 14], [4, 9], [6, 9]]",,0.4419930367487721,,39,0.3627904343400422,,0.17919423118366565,0.8125,0.21223168588945843,0.21223168588945845,,
