compiler,fidelity,g1,g2,#e,idling time,two qubit gate fidelity,gates,gate_spec,coupling
tket,0.65012511268112,53,33,4,"[41, 15, 21, 42, 23, 34, 34, 42]","[0.986, 0.986, 0.986, 0.986, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.986, 0.986, 0.986, 0.986, 0.986, 0.986, 0.991, 0.991, 0.986, 0.986, 0.986, 0.986, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991]","[(0, 1), [0], [1], (0, 1), (4, 5), [4], [5], (4, 5), (1, 6), [1], [6], (1, 6), (1, 4), [1], [4], (1, 4), [1], [4], (1, 4), [1], [4], [5], [6], (5, 6), [5], [6], (5, 6), [5], [6], (5, 6), [5], [6], (1, 2), [1], [2], (1, 2), [1], [2], (1, 2), [1], [2], [8], (4, 8), [4], [8], (4, 8), [4], [8], (4, 8), [4], [8], (0, 1), [0], [1], (0, 1), (1, 2), [1], [2], (1, 2), (0, 4), [0], [4], (0, 4), [2], [3], (2, 3), [2], [3], (2, 3), [2], [3], (2, 3), [2], [3], (4, 5), [4], [5], (4, 5), (2, 6), [2], [6], (2, 6), (1, 2), [1], [2], (1, 2)]","['syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc']",
tket,0.6481788662288306,42,31,3,"[16, 12, 20, 16, 25, 25, 26, 10]","[0.9905, 0.9905, 0.9905, 0.9905, 0.986, 0.986, 0.986, 0.986, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.981, 0.9855, 0.9855, 0.9855, 0.981, 0.9855, 0.9855, 0.981, 0.9855, 0.991, 0.991, 0.986, 0.986, 0.986, 0.986, 0.991, 0.991]","[(6, 10), [6], [10], (6, 10), (0, 1), [0], [1], (0, 1), (2, 6), [2], [6], (2, 6), (5, 10), [5], [10], (5, 10), (1, 2), [1], [2], (1, 2), [9], [10], (9, 10), [9], [10], (9, 10), [9], [10], (9, 10), [9], [10], (1, 4), [1], [4], (1, 4), (6, 10), [6], [10], (6, 10), (0, 4), [0], [4], (0, 4), [0], [4], (0, 4), [0], [4], (1, 2), [1], [2], (1, 2), [1], [2], (1, 2), [1], [2], (4, 5), [4], [5], (4, 5), (0, 4), [0], [4], (0, 4), (5, 10), [5], [10], (5, 10), (0, 1), [0], [1], (0, 1)]","['syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc']",
tket,0.65012511268112,53,33,2,"[41, 15, 21, 42, 23, 34, 34, 42]","[0.986, 0.986, 0.986, 0.986, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.986, 0.986, 0.986, 0.986, 0.986, 0.986, 0.991, 0.991, 0.986, 0.986, 0.986, 0.986, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991]","[(0, 1), [0], [1], (0, 1), (4, 5), [4], [5], (4, 5), (1, 6), [1], [6], (1, 6), (1, 4), [1], [4], (1, 4), [1], [4], (1, 4), [1], [4], [5], [6], (5, 6), [5], [6], (5, 6), [5], [6], (5, 6), [5], [6], (1, 2), [1], [2], (1, 2), [1], [2], (1, 2), [1], [2], [9], (4, 9), [4], [9], (4, 9), [4], [9], (4, 9), [4], [9], (0, 1), [0], [1], (0, 1), (1, 2), [1], [2], (1, 2), (0, 4), [0], [4], (0, 4), [2], [3], (2, 3), [2], [3], (2, 3), [2], [3], (2, 3), [2], [3], (4, 5), [4], [5], (4, 5), (2, 6), [2], [6], (2, 6), (1, 2), [1], [2], (1, 2)]","['syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc']",
tket,0.6681320907493501,53,33,1,"[41, 15, 21, 42, 23, 34, 34, 42]","[0.986, 0.986, 0.986, 0.986, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.9905, 0.9905, 0.9905, 0.9905, 0.9905, 0.9905, 0.991, 0.991, 0.986, 0.986, 0.986, 0.986, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991]","[(0, 1), [0], [1], (0, 1), (4, 5), [4], [5], (4, 5), (1, 6), [1], [6], (1, 6), (1, 4), [1], [4], (1, 4), [1], [4], (1, 4), [1], [4], [5], [6], (5, 6), [5], [6], (5, 6), [5], [6], (5, 6), [5], [6], (1, 2), [1], [2], (1, 2), [1], [2], (1, 2), [1], [2], [8], (4, 8), [4], [8], (4, 8), [4], [8], (4, 8), [4], [8], (0, 1), [0], [1], (0, 1), (1, 2), [1], [2], (1, 2), (0, 4), [0], [4], (0, 4), [2], [3], (2, 3), [2], [3], (2, 3), [2], [3], (2, 3), [2], [3], (4, 5), [4], [5], (4, 5), (2, 6), [2], [6], (2, 6), (1, 2), [1], [2], (1, 2)]","['syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc']",
tket,0.6681320907493501,53,33,0,"[41, 15, 21, 42, 23, 34, 34, 42]","[0.986, 0.986, 0.986, 0.986, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.9905, 0.9905, 0.9905, 0.9905, 0.9905, 0.9905, 0.991, 0.991, 0.986, 0.986, 0.986, 0.986, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991]","[(0, 1), [0], [1], (0, 1), (4, 5), [4], [5], (4, 5), (1, 6), [1], [6], (1, 6), (1, 4), [1], [4], (1, 4), [1], [4], (1, 4), [1], [4], [5], [6], (5, 6), [5], [6], (5, 6), [5], [6], (5, 6), [5], [6], (1, 2), [1], [2], (1, 2), [1], [2], (1, 2), [1], [2], [8], (4, 8), [4], [8], (4, 8), [4], [8], (4, 8), [4], [8], (0, 1), [0], [1], (0, 1), (1, 2), [1], [2], (1, 2), (0, 4), [0], [4], (0, 4), [2], [3], (2, 3), [2], [3], (2, 3), [2], [3], (2, 3), [2], [3], (4, 5), [4], [5], (4, 5), (2, 6), [2], [6], (2, 6), (1, 2), [1], [2], (1, 2)]","['syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc']",
