M,D,g1,g2,f,crosstalk,f_ct,#extra_e,extra_edge,f_dec_ratio,ct_ratio,f_imp_r,f_imp_r_ct
10,67,121,57,0.3233791891765271,36,0.2694941611258974,0,[],0.16663109394221026,0.631578947368421,0.0,0.0
10,61,100,54,0.351773361738527,36,0.2931569816523074,1,"[[6, 9]]",0.16663109394221026,0.6666666666666666,0.08780457590454299,0.08780457590454299
10,49,95,51,0.4063198343312362,39,0.3335096640035759,2,"[[7, 10], [6, 9]]",0.17919423118366573,0.7647058823529411,0.2564810845308702,0.2375394799287428
10,49,95,51,0.4063198343312362,39,0.3335096640035759,3,"[[3, 6], [7, 10], [5, 10]]",0.17919423118366573,0.7647058823529411,0.2564810845308702,0.2375394799287428
10,55,111,51,0.3826545459740005,39,0.3140850587992549,4,"[[11, 14], [9, 14], [7, 10], [5, 10]]",0.17919423118366545,0.7647058823529411,0.1832998497782615,0.16546146115769214
10,43,90,48,0.4419930367487721,39,0.3627904343400422,5,"[[8, 13], [10, 13], [4, 9], [6, 11], [6, 9]]",0.17919423118366565,0.8125,0.36679493159188975,0.3461903323781487
10,43,90,48,0.4419930367487721,39,0.3627904343400422,5,"[[8, 13], [10, 13], [4, 9], [6, 11], [6, 9]]",0.17919423118366565,0.8125,0.36679493159188975,0.3461903323781487
