M,D,g1,g2,#extra_e,extra_edge,cost,f,csf,crosstalk,f_ct,csf_ct,f_dec_ratio,ct_ratio,f_imp_r,f_imp_r_ct,csf_imp_r,csf_imp_r_ct
10,65,114,63,0,[],,0.3143563082360096,,24,0.2783857760069312,,0.11442599142013316,0.38095238095238093,0.0,0.0,,
10,73,116,57,1,"[[5, 13]]",,0.3045478131422251,,27,0.2656338731206074,,0.12777612690800957,0.47368421052631576,-0.03120183955850671,-0.045806589220299586,,
10,63,116,57,2,"[[5, 14], [5, 15]]",,0.3365773862483237,,36,0.2804931281815557,,0.16663109394221018,0.631578947368421,0.07068755240512355,0.007569898882233192,,
10,47,96,57,3,"[[4, 13], [4, 14], [5, 14]]",,0.3949811741195674,,51,0.3050908812470709,,0.2275812083268688,0.8947368421052632,0.2564760552634656,0.09592841136924608,,
10,47,103,54,4,"[[4, 13], [4, 14], [5, 14], [5, 15]]",,0.4046350737857477,,48,0.3173315462745739,,0.21575867532778586,0.8888888888888888,0.2871861107427164,0.13989856387875582,,
10,59,112,54,5,"[[3, 12], [3, 13], [4, 13], [5, 13], [5, 15]]",,0.3588775003233041,,36,0.299077349853186,,0.16663109394221032,0.6666666666666666,0.1416265267177948,0.07432697942778381,,
10,47,90,54,6,"[[3, 8], [8, 12], [3, 12], [3, 13], [4, 13], [5, 13]]",,0.4046377056770215,,48,0.3173336103124728,,0.21575867532778595,0.8888888888888888,0.2871944830616578,0.13990597818680178,,
10,53,101,54,6,"[[3, 12], [3, 13], [4, 13], [5, 13], [5, 14], [6, 14]]",,0.3810713428610532,,45,0.3034260796378608,,0.20375518830735997,0.8333333333333334,0.21222744025532939,0.08994821499179657,,
