mode,#e,M,gates,gate_spec,coupling
normal,0,8,"[[(5, 9)], [(1, 5), (8, 9)], [(5, 9)], [(1, 5), (9, 10)], [(0, 1), (5, 9)], [(0, 4), (5, 6)], [(0, 1), (4, 5)], [(1, 5), (4, 8)], [(5, 9)], [(8, 9)]]","[[' ZZ'], [' swap', ' ZZ'], [' ZZ'], [' ZZ', ' swap'], [' ZZ', ' ZZ'], [' ZZ', ' swap'], [' swap', ' ZZ'], [' ZZ', ' ZZ'], [' ZZ'], [' ZZ']]",[]
normal,1,8,"[[(1, 2)], [(1, 5), (2, 3)], [(1, 2), (5, 9)], [(2, 3)], [(1, 2), (3, 7)], [(7, 10), (1, 5)], [(6, 10)], [(6, 7), (9, 10)], [(5, 6)], [(5, 9)]]","[[' ZZ'], [' ZZ', ' swap'], [' ZZ', ' swap'], [' ZZ'], [' swap', ' ZZ'], [' ZZ', ' ZZ'], [' ZZ'], [' ZZ', ' ZZ'], [' ZZ'], [' ZZ']]","[[7, 10]]"
normal,2,8,"[[(6, 9)], [(9, 10)], [(5, 9)], [(5, 6), (9, 13)], [(6, 7), (5, 9)], [(2, 6), (7, 11)], [(6, 11)], [(6, 7), (10, 11)], [(6, 9)], [(9, 10)]]","[[' ZZ'], [' ZZ'], [' ZZ'], [' ZZ', ' swap'], [' ZZ', ' ZZ'], [' swap', ' ZZ'], [' ZZ'], [' ZZ', ' ZZ'], [' ZZ'], [' ZZ']]","[[6, 11], [6, 9]]"
normal,3,8,"[[(5, 8)], [(5, 10)], [(4, 5)], [(4, 8), (5, 6)], [(8, 12), (4, 5)], [(12, 13)], [(8, 12), (9, 13)], [(8, 9), (10, 13)], [(5, 9)], [(5, 10)]]","[[' ZZ'], [' ZZ'], [' ZZ'], [' ZZ', ' swap'], [' ZZ', ' ZZ'], [' ZZ'], [' swap', ' ZZ'], [' ZZ', ' ZZ'], [' ZZ'], [' ZZ']]","[[10, 13], [5, 8], [5, 10]]"
