mode,#e,M,gates,gate_spec,coupling
normal,0,8,"[[(6, 10)], [(6, 7), (9, 10)], [(10, 11), (5, 6)], [(2, 6), (7, 11), (10, 14)], [(6, 7), (10, 11)], [(6, 10)], [(5, 6), (9, 10)], [(5, 9)]]","[[' ZZ'], [' ZZ', ' ZZ'], [' ZZ', ' ZZ'], [' swap', ' ZZ', ' swap'], [' ZZ', ' ZZ'], [' ZZ'], [' ZZ', ' ZZ'], [' ZZ']]",[]
normal,1,8,"[[(9, 10)], [(5, 9), (10, 14)], [(6, 10), (9, 13)], [(5, 6), (8, 9), (10, 11)], [(5, 9), (6, 10)], [(9, 10)], [(9, 13), (10, 14)], [(13, 14)]]","[[' ZZ'], [' ZZ', ' ZZ'], [' ZZ', ' ZZ'], [' ZZ', ' swap', ' swap'], [' ZZ', ' ZZ'], [' ZZ'], [' ZZ', ' ZZ'], [' ZZ']]","[[7, 10]]"
normal,2,8,"[[(9, 10)], [(9, 13), (6, 10)], [(10, 14), (5, 9)], [(8, 9), (13, 14), (10, 11)], [(9, 13), (10, 14)], [(9, 10)], [(5, 9), (6, 10)], [(5, 6)]]","[[' ZZ'], [' ZZ', ' ZZ'], [' ZZ', ' ZZ'], [' swap', ' ZZ', ' swap'], [' ZZ', ' ZZ'], [' ZZ'], [' ZZ', ' ZZ'], [' ZZ']]","[[6, 11], [6, 9]]"
normal,3,8,"[[(12, 13)], [(10, 13), (8, 12)], [(12, 13), (10, 14)], [(6, 10), (13, 14)], [(9, 13), (10, 14), (5, 6)], [(9, 10)], [(5, 10), (8, 9)], [(5, 8)]]","[[' ZZ'], [' swap', ' ZZ'], [' ZZ', ' ZZ'], [' swap', ' ZZ'], [' ZZ', ' ZZ', ' ZZ'], [' ZZ'], [' ZZ', ' ZZ'], [' ZZ']]","[[10, 13], [5, 8], [5, 10]]"
