#e,compiler,fidelity no crosstalk,fidelity,g1,g2,D,avg idling time,idling time,qubit lifetime,avg two qubit gate fidelity,two qubit gate fidelity,gates,gate_spec
0,normal,0.5353086653014374,0.4867515481125503,66,45,845,528.75,"[710, 740, 485, 260, 335, 270, 720, 710]","[845, 845, 845, 845, 845, 845, 845, 845]",0.9889111111111111,"[0.991, 0.991, 0.991, 0.991, 0.986, 0.986, 0.986, 0.986, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.9905, 0.986, 0.9855, 0.9905, 0.986, 0.9855, 0.991, 0.991, 0.991, 0.986, 0.986, 0.986, 0.986, 0.986, 0.986, 0.9905, 0.9905, 0.9905, 0.9905, 0.986, 0.986, 0.986, 0.986, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991]","[(12, 13), [12], [13], (12, 13), (13, 14), [13], [14], (13, 14), (14, 15), [14], [15], (14, 15), [14], [15], (14, 15), [14], [15], (13, 17), [13], [17], (13, 17), (12, 13), [12], [13], (12, 13), [12], [13], (12, 13), [12], [13], (15, 16), [15], [16], (15, 16), (13, 17), [13], [17], (13, 17), (11, 12), [11], [12], (11, 12), [11], [12], (11, 12), [11], [12], (9, 15), [9], [15], (9, 15), (13, 14), [13], [14], (13, 14), (12, 13), [12], [13], (12, 13), [12], [13], (12, 13), [12], [13], (14, 15), [14], [15], (14, 15), [14], [15], (14, 15), [14], [15], (13, 17), [13], [17], (13, 17), (9, 15), [9], [15], (9, 15), (13, 14), [13], [14], (13, 14), [13], [14], (13, 14), [13], [14], (15, 16), [15], [16], (15, 16), (14, 15), [14], [15], (14, 15), [14], [15], (14, 15), [14], [15], (9, 15), [9], [15], (9, 15), (15, 16), [15], [16], (15, 16)]","['syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc']"
1,normal,0.6330447671563286,0.5709826789096443,53,33,615,369.375,"[485, 195, 440, 480, 440, 165, 285, 465]","[615, 615, 615, 615, 615, 615, 615, 615]",0.9879090909090908,"[0.991, 0.991, 0.991, 0.991, 0.986, 0.986, 0.986, 0.986, 0.986, 0.986, 0.986, 0.986, 0.986, 0.986, 0.9905, 0.9905, 0.9905, 0.9905, 0.986, 0.986, 0.991, 0.986, 0.986, 0.991, 0.991, 0.986, 0.986, 0.986, 0.986, 0.986, 0.986, 0.991, 0.991]","[(15, 16), [15], [16], (15, 16), (14, 15), [14], [15], (14, 15), (13, 14), [13], [14], (13, 14), (9, 15), [9], [15], (9, 15), (15, 16), [15], [16], (15, 16), [15], [16], (15, 16), [15], [16], (5, 14), [5], [14], (5, 14), [5], [14], (5, 14), [5], [14], (9, 15), [9], [15], (9, 15), [4], (4, 5), [4], [5], (4, 5), [4], [5], (4, 5), [4], [5], (14, 15), [14], [15], (14, 15), (6, 9), [6], [9], (6, 9), (5, 14), [5], [14], (5, 14), [5], [6], (5, 6), [5], [6], (5, 6), [5], [6], (5, 6), [5], [6], [13], [14], (13, 14), [13], [14], (13, 14), [13], [14], (13, 14), [13], [14], (5, 14), [5], [14], (5, 14)]","['syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc']"
2,normal,0.6276050764317227,0.5491206024059353,48,36,560,322.5,"[410, 135, 90, 455, 275, 425, 425, 365]","[560, 560, 560, 560, 560, 560, 560, 560]",0.9873333333333333,"[0.991, 0.991, 0.986, 0.986, 0.986, 0.986, 0.991, 0.991, 0.991, 0.986, 0.986, 0.986, 0.986, 0.9855, 0.981, 0.9855, 0.9855, 0.981, 0.9855, 0.991, 0.986, 0.986, 0.991, 0.986, 0.986, 0.986, 0.986, 0.991, 0.991, 0.991, 0.986, 0.986, 0.986, 0.986, 0.991, 0.991]","[(6, 9), [6], [9], (6, 9), (5, 6), [5], [6], (5, 6), (9, 15), [9], [15], (9, 15), [9], [15], (9, 15), [9], [15], (6, 9), [6], [9], (6, 9), (4, 5), [4], [5], (4, 5), (9, 15), [9], [15], (9, 15), (6, 7), [6], [7], (6, 7), [6], [7], (6, 7), [6], [7], (5, 13), [5], [13], (5, 13), (14, 15), [14], [15], (14, 15), (4, 5), [4], [5], (4, 5), [4], [5], (4, 5), [4], [5], (6, 9), [6], [9], (6, 9), (5, 6), [5], [6], (5, 6), [5], [6], (5, 6), [5], [6], (13, 14), [13], [14], (13, 14), (5, 13), [5], [13], (5, 13), (6, 14), [6], [14], (6, 14), (5, 6), [5], [6], (5, 6)]","['syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc']"
3,normal,0.6303191012793554,0.5559791937506806,48,36,545,307.5,"[440, 75, 410, 350, 395, 120, 410, 260]","[545, 545, 545, 545, 545, 545, 545, 545]",0.9875555555555555,"[0.991, 0.991, 0.986, 0.986, 0.986, 0.986, 0.986, 0.986, 0.991, 0.986, 0.986, 0.981, 0.9855, 0.9855, 0.981, 0.9855, 0.9855, 0.9905, 0.9905, 0.991, 0.9905, 0.9905, 0.986, 0.986, 0.991, 0.986, 0.986, 0.991, 0.991, 0.991, 0.986, 0.986, 0.986, 0.986, 0.991, 0.991]","[(5, 15), [5], [15], (5, 15), (5, 13), [5], [13], (5, 13), (9, 15), [9], [15], (9, 15), [9], [15], (9, 15), [9], [15], (5, 6), [5], [6], (5, 6), (12, 13), [12], [13], (12, 13), (6, 9), [6], [9], (6, 9), (4, 5), [4], [5], (4, 5), [4], [5], (4, 5), [4], [5], (13, 14), [13], [14], (13, 14), (9, 15), [9], [15], (9, 15), (5, 6), [5], [6], (5, 6), (12, 13), [12], [13], (12, 13), [12], [13], (12, 13), [12], [13], (5, 13), [5], [13], (5, 13), [5], [13], (5, 13), [5], [13], (14, 15), [14], [15], (14, 15), (5, 15), [5], [15], (5, 15), (13, 14), [13], [14], (13, 14), (5, 13), [5], [13], (5, 13)]","['syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc']"
4,normal,0.6522465336867714,0.5870793559115106,42,33,515,303.75,"[380, 45, 410, 380, 380, 380, 90, 365]","[515, 515, 515, 515, 515, 515, 515, 515]",0.987848484848485,"[0.991, 0.991, 0.991, 0.991, 0.986, 0.986, 0.986, 0.986, 0.9855, 0.981, 0.9855, 0.9855, 0.981, 0.9855, 0.9905, 0.9905, 0.991, 0.9905, 0.9905, 0.986, 0.986, 0.991, 0.986, 0.986, 0.991, 0.991, 0.991, 0.986, 0.986, 0.986, 0.986, 0.991, 0.991]","[(3, 8), [3], [8], (3, 8), (3, 13), [3], [13], (3, 13), (2, 3), [2], [3], (2, 3), (13, 17), [13], [17], (13, 17), (2, 8), [2], [8], (2, 8), (3, 4), [3], [4], (3, 4), [3], [4], (3, 4), [3], [4], (12, 13), [12], [13], (12, 13), (8, 11), [8], [11], (8, 11), (2, 3), [2], [3], (2, 3), (13, 17), [13], [17], (13, 17), [13], [17], (13, 17), [13], [17], (3, 13), [3], [13], (3, 13), [3], [13], (3, 13), [3], [13], (11, 12), [11], [12], (11, 12), (3, 11), [3], [11], (3, 11), (12, 13), [12], [13], (12, 13), (3, 13), [3], [13], (3, 13)]","['syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc']"
5,normal,0.6326845111442402,0.5823212939580561,48,34,590,357.5,"[380, 305, 280, 460, 270, 270, 455, 440]","[590, 590, 590, 590, 590, 590, 590, 590]",0.9885882352941177,"[0.991, 0.991, 0.991, 0.991, 0.986, 0.986, 0.986, 0.986, 0.986, 0.986, 0.991, 0.986, 0.986, 0.9905, 0.9905, 0.991, 0.9905, 0.9905, 0.986, 0.986, 0.986, 0.986, 0.986, 0.986, 0.991, 0.986, 0.986, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991]","[(9, 14), [9], [14], (9, 14), (6, 9), [6], [9], (6, 9), (9, 15), [9], [15], (9, 15), (5, 6), [5], [6], (5, 6), (4, 5), [4], [5], (4, 5), [4], [5], (4, 5), [4], [5], (14, 15), [14], [15], (14, 15), [6], [7], (6, 7), [6], [7], (6, 7), [6], [7], (6, 7), [6], [7], (5, 14), [5], [14], (5, 14), (15, 16), [15], [16], (15, 16), (5, 6), [5], [6], (5, 6), (4, 14), [4], [14], (4, 14), [4], [14], (4, 14), [4], [14], (9, 16), [9], [16], (9, 16), [9], [16], (9, 16), [9], [16], (6, 9), [6], [9], (6, 9), (5, 14), [5], [14], (5, 14), (9, 14), [9], [14], (9, 14)]","['syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc']"
6,normal,0.6438744931031445,0.5819242159325552,42,33,560,348.75,"[425, 365, 275, 425, 425, 90, 455, 330]","[560, 560, 560, 560, 560, 560, 560, 560]",0.987969696969697,"[0.991, 0.991, 0.986, 0.986, 0.986, 0.986, 0.991, 0.991, 0.991, 0.986, 0.986, 0.986, 0.986, 0.986, 0.986, 0.986, 0.986, 0.991, 0.991, 0.991, 0.986, 0.986, 0.986, 0.986, 0.991, 0.991, 0.991, 0.986, 0.986, 0.986, 0.986, 0.991, 0.991]","[(6, 14), [6], [14], (6, 14), (5, 6), [5], [6], (5, 6), [5], [6], (5, 6), [5], [6], (13, 14), [13], [14], (13, 14), (6, 14), [6], [14], (6, 14), (13, 17), [13], [17], (13, 17), (5, 6), [5], [6], (5, 6), (14, 15), [14], [15], (14, 15), [14], [15], (14, 15), [14], [15], (12, 13), [12], [13], (12, 13), (4, 5), [4], [5], (4, 5), (6, 14), [6], [14], (6, 14), (4, 12), [4], [12], (4, 12), (14, 17), [14], [17], (14, 17), [14], [17], (14, 17), [14], [17], (4, 14), [4], [14], (4, 14), (12, 17), [12], [17], (12, 17), (14, 17), [14], [17], (14, 17)]","['syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc']"
7,normal,0.6749722280041169,0.6199517517581155,36,30,485,300.0,"[350, 380, 95, 350, 165, 360, 350, 350]","[485, 485, 485, 485, 485, 485, 485, 485]",0.9882000000000001,"[0.991, 0.991, 0.991, 0.991, 0.986, 0.986, 0.986, 0.986, 0.9855, 0.981, 0.9855, 0.9855, 0.981, 0.9855, 0.991, 0.991, 0.991, 0.9905, 0.9905, 0.9905, 0.9905, 0.986, 0.986, 0.986, 0.986, 0.991, 0.991, 0.991, 0.991, 0.991]","[(4, 5), [4], [5], (4, 5), (4, 12), [4], [12], (4, 12), (0, 4), [0], [4], (0, 4), (12, 13), [12], [13], (12, 13), (0, 5), [0], [5], (0, 5), (3, 4), [3], [4], (3, 4), [3], [4], (3, 4), [3], [4], (12, 17), [12], [17], (12, 17), (5, 14), [5], [14], (5, 14), (0, 4), [0], [4], (0, 4), (14, 17), [14], [17], (14, 17), (4, 12), [4], [12], (4, 12), [4], [12], (4, 12), [4], [12], (12, 17), [12], [17], (12, 17), (13, 14), [13], [14], (13, 14), (12, 13), [12], [13], (12, 13)]","['syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc']"
