#e,compiler,fidelity no crosstalk,fidelity,g1,g2,D,avg idling time,idling time,qubit lifetime,avg two qubit gate fidelity,two qubit gate fidelity,gates,gate_spec
0,normal,0.6663267069373301,0.6663267069373302,48,32,465,240.0,"[330, 325, 15, 290, 290, 15, 325, 330]","[465, 465, 465, 465, 465, 465, 465, 465]",0.991,"[0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991]","[(0, 4), [0], [4], (0, 4), (13, 17), [13], [17], (13, 17), [12], [13], (12, 13), [12], [13], (12, 13), [12], [13], (12, 13), [12], [13], [4], [5], (4, 5), [4], [5], (4, 5), [4], [5], (4, 5), [4], [5], (0, 4), [0], [4], (0, 4), (13, 17), [13], [17], (13, 17), (13, 14), [13], [14], (13, 14), [13], [14], (13, 14), [13], [14], (3, 4), [3], [4], (3, 4), [3], [4], (3, 4), [3], [4], (12, 13), [12], [13], (12, 13), (4, 5), [4], [5], (4, 5), (13, 17), [13], [17], (13, 17), (0, 4), [0], [4], (0, 4), (3, 4), [3], [4], (3, 4), (13, 14), [13], [14], (13, 14)]","['syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc']"
1,normal,0.6435772132905624,0.6435772132905624,48,36,470,235.0,"[275, 330, 0, 335, 335, 275, 0, 330]","[470, 470, 470, 470, 470, 470, 470, 470]",0.9910000000000001,"[0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991]","[(4, 5), [4], [5], (4, 5), (8, 11), [8], [11], (8, 11), (10, 11), [10], [11], (10, 11), [10], [11], (10, 11), [10], [11], (0, 4), [0], [4], (0, 4), [0], [4], (0, 4), [0], [4], (8, 11), [8], [11], (8, 11), (4, 5), [4], [5], (4, 5), (0, 4), [0], [4], (0, 4), (10, 11), [10], [11], (10, 11), (11, 12), [11], [12], (11, 12), [11], [12], (11, 12), [11], [12], (3, 4), [3], [4], (3, 4), [3], [4], (3, 4), [3], [4], (8, 11), [8], [11], (8, 11), (4, 5), [4], [5], (4, 5), (10, 11), [10], [11], (10, 11), (0, 4), [0], [4], (0, 4), (3, 4), [3], [4], (3, 4), (11, 12), [11], [12], (11, 12)]","['syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc']"
2,normal,0.6769391359619472,0.550439445100926,48,32,410,185.0,"[280, 110, 65, 285, 285, 65, 110, 280]","[410, 410, 410, 410, 410, 410, 410, 410]",0.9846250000000001,"[0.986, 0.986, 0.986, 0.986, 0.9855, 0.981, 0.9855, 0.9855, 0.981, 0.9855, 0.986, 0.981, 0.986, 0.981, 0.976, 0.976, 0.981, 0.981, 0.976, 0.976, 0.981, 0.991, 0.991, 0.991, 0.986, 0.986, 0.986, 0.986, 0.9905, 0.9905, 0.9905, 0.9905]","[(14, 15), [14], [15], (14, 15), (5, 6), [5], [6], (5, 6), (6, 14), [6], [14], (6, 14), [6], [14], (6, 14), [6], [14], (9, 15), [9], [15], (9, 15), (5, 13), [5], [13], (5, 13), (6, 9), [6], [9], (6, 9), (13, 14), [13], [14], (13, 14), [15], [16], (15, 16), [15], [16], (15, 16), [15], [16], (15, 16), [15], [16], [4], [5], (4, 5), [4], [5], (4, 5), [4], [5], (4, 5), [4], [5], (6, 14), [6], [14], (6, 14), [6], [14], (6, 14), [6], [14], (14, 15), [14], [15], (14, 15), (5, 6), [5], [6], (5, 6), (5, 13), [5], [13], (5, 13), (9, 15), [9], [15], (9, 15)]","['syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc']"
3,normal,0.6437012206882597,0.5518380685031893,48,34,530,297.5,"[380, 210, 255, 160, 400, 245, 395, 335]","[530, 530, 530, 530, 530, 530, 530, 530]",0.9865294117647059,"[0.986, 0.986, 0.986, 0.986, 0.9855, 0.981, 0.9855, 0.9855, 0.981, 0.9855, 0.986, 0.986, 0.981, 0.981, 0.981, 0.981, 0.981, 0.981, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.986, 0.986, 0.991, 0.991, 0.986, 0.986, 0.991]","[(4, 13), [4], [13], (4, 13), (5, 6), [5], [6], (5, 6), (0, 4), [0], [4], (0, 4), (5, 15), [5], [15], (5, 15), [5], [15], (5, 15), [5], [15], (6, 9), [6], [9], (6, 9), (4, 5), [4], [5], (4, 5), [6], [7], (6, 7), [6], [7], (6, 7), [6], [7], (6, 7), [6], [7], (9, 15), [9], [15], (9, 15), (0, 4), [0], [4], (0, 4), [0], [4], (0, 4), [0], [4], (6, 9), [6], [9], (6, 9), [6], [9], (6, 9), [6], [9], (4, 13), [4], [13], (4, 13), (9, 15), [9], [15], (9, 15), (5, 13), [5], [13], (5, 13), (6, 9), [6], [9], (6, 9), (4, 5), [4], [5], (4, 5)]","['syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc']"
4,normal,0.6688673134376065,0.5620142758273469,42,33,425,216.25,"[290, 0, 275, 300, 185, 290, 105, 285]","[425, 425, 425, 425, 425, 425, 425, 425]",0.9857878787878788,"[0.986, 0.986, 0.986, 0.986, 0.986, 0.986, 0.986, 0.986, 0.991, 0.986, 0.986, 0.986, 0.986, 0.9855, 0.981, 0.9855, 0.9855, 0.981, 0.9855, 0.986, 0.986, 0.986, 0.986, 0.986, 0.986, 0.986, 0.986, 0.986, 0.986, 0.986, 0.986, 0.986, 0.986]","[(11, 12), [11], [12], (11, 12), (2, 3), [2], [3], (2, 3), (3, 11), [3], [11], (3, 11), [3], [11], (3, 11), [3], [11], (12, 13), [12], [13], (12, 13), (3, 13), [3], [13], (3, 13), (8, 11), [8], [11], (8, 11), (3, 4), [3], [4], (3, 4), [3], [4], (3, 4), [3], [4], (13, 14), [13], [14], (13, 14), [13], [14], (13, 14), [13], [14], (2, 8), [2], [8], (2, 8), (3, 11), [3], [11], (3, 11), (12, 13), [12], [13], (12, 13), (2, 3), [2], [3], (2, 3), (4, 13), [4], [13], (4, 13), (3, 8), [3], [8], (3, 8), (13, 14), [13], [14], (13, 14)]","['syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc']"
5,normal,0.72903684791057,0.7001410637403931,36,26,330,157.5,"[205, 200, 30, 195, 30, 200, 205, 195]","[330, 330, 330, 330, 330, 330, 330, 330]",0.9894615384615386,"[0.9905, 0.9905, 0.9905, 0.9905, 0.9905, 0.9905, 0.9905, 0.9905, 0.9905, 0.9905, 0.986, 0.986, 0.9905, 0.9905, 0.986, 0.986, 0.986, 0.986, 0.9905, 0.9905, 0.9905, 0.9905, 0.9905, 0.9905, 0.9905, 0.9905]","[(4, 5), [4], [5], (4, 5), (9, 16), [9], [16], (9, 16), (0, 4), [0], [4], (0, 4), (9, 15), [9], [15], (9, 15), [3], [4], (3, 4), [3], [4], (3, 4), [3], [4], (3, 4), [3], [4], (0, 5), [0], [5], (0, 5), [9], [14], (9, 14), [9], [14], (9, 14), [9], [14], (9, 14), [9], [14], (15, 16), [15], [16], (15, 16), (4, 5), [4], [5], (4, 5), (9, 16), [9], [16], (9, 16), (0, 4), [0], [4], (0, 4), (9, 15), [9], [15], (9, 15)]","['syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc']"
6,normal,0.6838979855753645,0.5459969971789982,42,33,350,138.75,"[215, 75, 75, 215, 65, 155, 155, 155]","[350, 350, 350, 350, 350, 350, 350, 350]",0.9842727272727273,"[0.9905, 0.9905, 0.9905, 0.9905, 0.9805, 0.976, 0.9850000000000001, 0.9805, 0.9805, 0.976, 0.9850000000000001, 0.9805, 0.986, 0.986, 0.9805, 0.9850000000000001, 0.9805, 0.976, 0.9805, 0.9850000000000001, 0.9805, 0.976, 0.981, 0.9855, 0.9855, 0.981, 0.9855, 0.9855, 0.991, 0.991, 0.991, 0.991, 0.991]","[(4, 13), [4], [13], (4, 13), (6, 9), [6], [9], (6, 9), (4, 12), [4], [12], (4, 12), (13, 17), [13], [17], (13, 17), [13], [17], (13, 17), [13], [17], (6, 14), [6], [14], (6, 14), [6], [14], (6, 14), [6], [14], (9, 15), [9], [15], (9, 15), (4, 13), [4], [13], (4, 13), (12, 17), [12], [17], (12, 17), (6, 9), [6], [9], (6, 9), (14, 15), [14], [15], (14, 15), (13, 17), [13], [17], (13, 17), (6, 14), [6], [14], (6, 14), (9, 15), [9], [15], (9, 15), [9], [15], (9, 15), [9], [15], (6, 9), [6], [9], (6, 9), (12, 13), [12], [13], (12, 13)]","['syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc']"
7,normal,0.711380934841652,0.6160600193389487,36,28,360,180.0,"[235, 230, 60, 225, 225, 75, 165, 225]","[360, 360, 360, 360, 360, 360, 360, 360]",0.9859285714285714,"[0.986, 0.986, 0.986, 0.986, 0.981, 0.981, 0.981, 0.981, 0.981, 0.981, 0.991, 0.986, 0.986, 0.991, 0.9855, 0.981, 0.9855, 0.9855, 0.981, 0.9855, 0.991, 0.991, 0.991, 0.986, 0.986, 0.991, 0.991, 0.991]","[(4, 5), [4], [5], (4, 5), (12, 13), [12], [13], (12, 13), (12, 17), [12], [17], (12, 17), (13, 14), [13], [14], (13, 14), [13], [14], (13, 14), [13], [14], (0, 4), [0], [4], (0, 4), [3], [4], (3, 4), [3], [4], (3, 4), [3], [4], (3, 4), [3], [4], (0, 5), [0], [5], (0, 5), (12, 13), [12], [13], (12, 13), (14, 17), [14], [17], (14, 17), (4, 5), [4], [5], (4, 5), (13, 14), [13], [14], (13, 14), (0, 4), [0], [4], (0, 4), (13, 17), [13], [17], (13, 17)]","['syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc']"
