mode,#e,M,gates,gate_spec,coupling
normal,0,8,"[[(13, 14)], [(12, 13), (14, 15)], [(13, 17), (11, 12), (15, 16)], [(13, 14), (8, 11)], [(13, 17), (14, 15)], [(12, 13)], [(13, 14), (11, 12)], [(13, 17)], [(12, 13)]]","[[' ZZ'], [' ZZ', ' ZZ swap'], [' ZZ', ' swap ZZ', ' swap ZZ'], [' swap', ' swap ZZ'], [' ZZ', ' swap'], [' ZZ'], [' swap', ' ZZ swap'], [' ZZ'], [' ZZ']]",[]
normal,1,8,"[[(14, 15)], [(5, 14), (9, 15)], [(14, 15), (5, 6)], [(15, 16), (13, 14), (4, 5)], [(9, 15)], [(6, 9), (14, 15)], [(5, 6)], [(5, 14)]]","[[' ZZ'], [' ZZ', ' ZZ'], [' swap', ' ZZ'], [' swap ZZ', ' ZZ swap', ' swap ZZ'], [' ZZ'], [' ZZ', ' ZZ'], [' ZZ'], [' ZZ']]","[[5, 14]]"
normal,2,8,"[[(6, 14)], [(5, 6), (14, 15)], [(6, 9), (5, 13)], [(6, 7), (9, 15), (4, 5)], [(6, 14)], [(14, 15), (6, 9)], [(13, 14)], [(5, 13)], [(5, 6)]]","[[' ZZ'], [' ZZ', ' ZZ'], [' ZZ', ' ZZ'], [' swap', ' ZZ', ' ZZ swap'], [' ZZ'], [' swap', ' ZZ'], [' ZZ'], [' ZZ'], [' ZZ']]","[[5, 13], [6, 14]]"
