mode,#e,M,gates,gate_spec,coupling
normal,0,8,"[[(0, 4), (13, 17)], [(12, 13), (4, 5)], [(0, 4), (13, 17)], [(13, 14), (3, 4)], [(12, 13), (4, 5)], [(13, 17), (0, 4)], [(3, 4), (13, 14)]]","[[' ZZ', ' ZZ'], [' swap ZZ', ' swap ZZ'], [' ZZ', ' ZZ'], [' swap', ' swap'], [' ZZ', ' ZZ'], [' ZZ', ' ZZ'], [' ZZ', ' ZZ']]",[]
normal,1,8,"[[(4, 5), (8, 11)], [(10, 11), (0, 4)], [(8, 11), (4, 5)], [(0, 4), (10, 11)], [(11, 12), (3, 4)], [(8, 11), (4, 5)], [(10, 11), (0, 4)], [(3, 4), (11, 12)]]","[[' ZZ', ' ZZ'], [' swap', ' swap'], [' ZZ', ' ZZ'], [' ZZ', ' ZZ'], [' swap', ' swap'], [' ZZ', ' ZZ'], [' ZZ', ' ZZ'], [' ZZ', ' ZZ']]","[[5, 14]]"
normal,2,8,"[[(14, 15), (5, 6)], [(6, 14), (9, 15), (5, 13)], [(6, 9), (13, 14), (15, 16), (4, 5)], [(6, 14)], [(14, 15), (5, 6)], [(5, 13), (9, 15)]]","[[' ZZ', ' ZZ'], [' swap', ' ZZ', ' ZZ'], [' ZZ', ' ZZ', ' swap ZZ', ' swap ZZ'], [' swap'], [' ZZ', ' ZZ'], [' ZZ', ' ZZ']]","[[5, 13], [6, 14]]"
normal,3,8,"[[(4, 13), (5, 6)], [(0, 4), (5, 15), (6, 9)], [(4, 5), (6, 7), (9, 15)], [(0, 4), (6, 9)], [(4, 13), (9, 15)], [(5, 13), (6, 9)], [(4, 5)]]","[[' ZZ', ' ZZ'], [' ZZ', ' swap', ' ZZ'], [' ZZ', ' swap ZZ', ' ZZ'], [' swap', ' swap'], [' ZZ', ' ZZ'], [' ZZ', ' ZZ'], [' ZZ']]","[[4, 13], [5, 13], [5, 15]]"
normal,4,8,"[[(11, 12), (2, 3)], [(3, 11), (12, 13)], [(3, 13), (8, 11)], [(3, 4), (13, 14), (2, 8)], [(3, 11), (12, 13)], [(2, 3), (4, 13)], [(3, 8), (13, 14)]]","[[' ZZ', ' ZZ'], [' swap', ' ZZ'], [' ZZ', ' ZZ'], [' swap', ' swap', ' ZZ'], [' ZZ', ' ZZ'], [' ZZ', ' ZZ'], [' ZZ', ' ZZ']]","[[3, 8], [3, 13], [4, 13], [3, 11]]"
normal,5,8,"[[(4, 5), (9, 16)], [(0, 4), (9, 15)], [(3, 4), (0, 5), (9, 14), (15, 16)], [(4, 5), (9, 16)], [(0, 4), (9, 15)]]","[[' ZZ', ' ZZ'], [' ZZ', ' ZZ'], [' ZZ swap', ' ZZ', ' ZZ swap', ' ZZ'], [' ZZ', ' ZZ'], [' ZZ', ' ZZ']]","[[4, 14], [5, 14], [9, 14], [0, 5], [9, 16]]"
normal,6,8,"[[(4, 13), (6, 9)], [(4, 12), (13, 17), (6, 14), (9, 15)], [(4, 13), (12, 17), (6, 9), (14, 15)], [(13, 17), (6, 14), (9, 15)], [(6, 9), (12, 13)]]","[[' ZZ', ' ZZ'], [' ZZ', ' swap', ' swap', ' ZZ'], [' ZZ', ' ZZ', ' ZZ', ' ZZ'], [' ZZ', ' ZZ', ' swap'], [' ZZ', ' ZZ']]","[[4, 12], [4, 13], [4, 14], [6, 14], [12, 17], [14, 17]]"
normal,7,8,"[[(4, 5), (12, 13)], [(12, 17), (13, 14), (0, 4)], [(3, 4), (0, 5), (12, 13), (14, 17)], [(4, 5), (13, 14)], [(0, 4), (13, 17)]]","[[' ZZ', ' ZZ'], [' ZZ', ' swap', ' ZZ'], [' swap ZZ', ' ZZ', ' ZZ', ' ZZ'], [' ZZ', ' ZZ'], [' ZZ', ' ZZ']]","[[4, 12], [4, 13], [5, 13], [5, 14], [0, 5], [12, 17], [14, 17]]"
