mode,#e,M,gates,gate_spec,coupling
normal,0,8,"[[(2, 8), (13, 17)], [(2, 3), (8, 11)], [(10, 11), (2, 8)], [(2, 3), (11, 12)], [(2, 8), (10, 11), (12, 13)], [(8, 11), (13, 17)], [(11, 12), (2, 8)], [(12, 13), (8, 11)], [(13, 17)]]","[[' ZZ', ' ZZ'], [' ZZ', ' swap'], [' ZZ', ' ZZ'], [' swap', ' ZZ'], [' ZZ', ' swap', ' swap ZZ'], [' swap', ' ZZ'], [' swap', ' ZZ'], [' swap', ' ZZ'], [' ZZ']]",[]
normal,1,8,"[[(5, 6), (13, 14)], [(6, 7), (4, 5), (14, 15)], [(5, 14), (6, 9)], [(6, 7), (13, 14), (4, 5)], [(6, 9), (14, 15)], [(5, 6), (13, 14), (9, 15)], [(5, 14)]]","[[' ZZ', ' ZZ'], [' ZZ', ' ZZ', ' swap'], [' ZZ', ' ZZ'], [' swap', ' ZZ', ' swap'], [' ZZ', ' ZZ'], [' ZZ', ' swap', ' ZZ'], [' ZZ']]","[[5, 14]]"
normal,2,8,"[[(5, 6), (14, 15)], [(6, 7), (4, 5)], [(5, 13), (6, 9)], [(6, 7), (4, 5), (13, 14)], [(6, 9), (14, 15)], [(5, 6), (9, 15)], [(5, 13)]]","[[' ZZ', ' ZZ'], [' ZZ', ' ZZ'], [' ZZ', ' ZZ'], [' swap', ' swap', ' swap ZZ'], [' ZZ', ' ZZ'], [' ZZ', ' ZZ'], [' ZZ']]","[[5, 13], [6, 14]]"
normal,3,8,"[[(5, 6), (14, 15)], [(4, 5), (6, 7)], [(5, 13), (6, 9)], [(4, 13), (6, 7), (9, 15)], [(4, 5), (14, 15)], [(5, 6), (13, 14)], [(6, 9)]]","[[' ZZ', ' ZZ'], [' ZZ', ' ZZ'], [' ZZ', ' ZZ'], [' ZZ', ' swap', ' ZZ swap'], [' swap', ' ZZ'], [' ZZ', ' ZZ'], [' ZZ']]","[[4, 13], [5, 13], [5, 15]]"
normal,4,8,"[[(3, 13)], [(13, 17), (3, 4)], [(2, 3), (12, 13)], [(13, 17), (3, 11), (2, 8)], [(12, 13), (3, 8)], [(4, 13), (8, 11)], [(3, 4), (11, 12)]]","[[' ZZ'], [' ZZ', ' ZZ'], [' swap', ' ZZ'], [' swap', ' ZZ', ' ZZ'], [' ZZ', ' ZZ'], [' ZZ', ' ZZ'], [' ZZ', ' ZZ']]","[[3, 8], [3, 13], [4, 13], [3, 11]]"
normal,5,8,"[[(9, 14), (5, 6)], [(9, 15), (4, 5), (13, 14)], [(9, 16), (5, 14)], [(13, 14), (15, 16), (4, 5)], [(14, 15), (5, 6), (9, 16)], [(4, 14), (6, 9)]]","[[' ZZ', ' ZZ'], [' ZZ', ' swap', ' ZZ'], [' ZZ', ' ZZ'], [' swap', ' ZZ', ' ZZ'], [' ZZ', ' ZZ', ' swap'], [' ZZ', ' ZZ']]","[[4, 14], [5, 14], [9, 14], [0, 5], [9, 16]]"
normal,6,8,"[[(14, 17), (6, 9)], [(12, 17), (5, 6), (4, 14), (9, 15)], [(13, 17), (6, 14)], [(12, 13), (5, 6), (14, 15)], [(4, 12), (6, 14)], [(4, 5), (13, 14)]]","[[' ZZ', ' ZZ'], [' ZZ', ' swap', ' ZZ', ' swap'], [' ZZ', ' ZZ'], [' ZZ', ' ZZ', ' swap'], [' ZZ', ' ZZ'], [' ZZ', ' ZZ']]","[[4, 12], [4, 13], [4, 14], [6, 14], [12, 17], [14, 17]]"
normal,7,8,"[[(4, 12), (5, 14)], [(12, 13), (3, 4), (0, 5)], [(12, 17), (4, 5)], [(3, 4), (13, 17), (0, 5)], [(4, 13), (5, 14)], [(0, 4), (14, 17)]]","[[' ZZ', ' ZZ'], [' ZZ', ' ZZ', ' swap'], [' ZZ', ' ZZ'], [' swap', ' ZZ', ' ZZ'], [' ZZ', ' ZZ'], [' ZZ', ' ZZ']]","[[4, 12], [4, 13], [5, 13], [5, 14], [0, 5], [12, 17], [14, 17]]"
