compiler,#e,M,gates,gate_spec,coupling
tket,9,10,"[[(4, 14)], [(5, 14), (4, 12)], [(0, 5), (13, 14)], [(0, 3), (5, 6)], [(2, 3), (6, 14)], [(3, 12), (4, 14)], [(0, 3), (13, 14)], [(3, 4), (12, 13)], [(2, 3)], [(2, 8)], [(2, 3)], [(3, 4)], [(2, 3)]]","[[' ZZ'], [' ZZ', ' ZZ'], [' ZZ', ' ZZ'], [' ZZ', ' ZZ'], [' ZZ', ' swap'], [' swap', ' swap'], [' ZZ', ' ZZ'], [' swap', ' ZZ'], [' ZZ'], [' ZZ swap'], [' ZZ'], [' swap'], [' ZZ']]","[[3, 12], [5, 13], [5, 14], [5, 15], [5, 9], [0, 3], [0, 5], [12, 17], [14, 17]]"
tket,5,10,"[[(4, 5)], [(5, 14), (4, 12)], [(0, 5), (13, 14)], [(3, 13), (0, 4), (14, 17)], [(2, 3), (12, 13)], [(0, 3), (13, 17)], [(3, 13)], [(2, 3)], [(2, 8)], [(2, 3)], [(3, 12)], [(2, 3)]]","[[' ZZ'], [' ZZ', ' ZZ'], [' ZZ', ' ZZ'], [' ZZ', ' ZZ', ' ZZ'], [' ZZ', ' ZZ'], [' ZZ', ' swap'], [' swap'], [' ZZ'], [' ZZ swap'], [' ZZ'], [' swap'], [' ZZ']]","[[3, 13], [5, 13], [5, 14], [5, 9], [9, 16]]"
tket,4,10,"[[(4, 5)], [(5, 14), (4, 12)], [(0, 5), (13, 14)], [(3, 13), (0, 4), (14, 17)], [(2, 3), (12, 13)], [(0, 3), (13, 17)], [(3, 13)], [(2, 3)], [(2, 8)], [(2, 3)], [(3, 12)], [(2, 3)]]","[[' ZZ'], [' ZZ', ' ZZ'], [' ZZ', ' ZZ'], [' ZZ', ' ZZ', ' ZZ'], [' ZZ', ' ZZ'], [' ZZ', ' swap'], [' swap'], [' ZZ'], [' ZZ swap'], [' ZZ'], [' swap'], [' ZZ']]","[[4, 12], [5, 13], [5, 14], [5, 15]]"
tket,8,10,"[[(4, 5)], [(5, 14), (4, 12)], [(0, 5), (13, 14)], [(3, 13), (0, 4), (14, 17)], [(3, 11), (12, 13)], [(12, 17), (0, 3)], [(11, 12)], [(8, 11)], [(11, 12)], [(12, 17)], [(11, 12)]]","[[' ZZ'], [' ZZ', ' ZZ'], [' ZZ', ' ZZ'], [' ZZ', ' ZZ', ' ZZ'], [' ZZ', ' ZZ'], [' swap', ' ZZ'], [' ZZ'], [' ZZ swap'], [' ZZ'], [' swap'], [' ZZ']]","[[3, 8], [4, 12], [5, 14], [3, 11], [0, 3], [0, 5], [12, 17], [14, 17]]"
tket,3,10,"[[(4, 5)], [(5, 13), (4, 12)], [(3, 13), (5, 14)], [(0, 3), (4, 14), (13, 17)], [(3, 12), (5, 14)], [(3, 11)], [(0, 3)], [(3, 13), (0, 5)], [(2, 3)], [(3, 13)], [(3, 12)]]","[[' ZZ'], [' ZZ', ' ZZ'], [' ZZ', ' ZZ'], [' ZZ', ' ZZ', ' ZZ swap'], [' ZZ', ' swap'], [' swap'], [' ZZ'], [' ZZ', ' ZZ'], [' ZZ swap'], [' ZZ'], [' ZZ']]","[[4, 13], [5, 15], [0, 5]]"
tket,2,10,"[[(4, 5)], [(5, 13), (4, 12)], [(3, 13), (5, 14)], [(0, 3), (4, 14), (13, 17)], [(3, 12), (5, 14)], [(3, 11)], [(0, 3)], [(3, 13), (0, 5)], [(2, 3)], [(3, 13)], [(3, 12)]]","[[' ZZ'], [' ZZ', ' ZZ'], [' ZZ', ' ZZ'], [' ZZ', ' ZZ', ' ZZ swap'], [' ZZ', ' swap'], [' swap'], [' ZZ'], [' ZZ', ' ZZ'], [' ZZ swap'], [' ZZ'], [' ZZ']]","[[4, 12], [5, 14]]"
tket,1,10,"[[(4, 5)], [(5, 13), (4, 12)], [(3, 13), (5, 14)], [(0, 3), (4, 14), (13, 17)], [(3, 12), (5, 14)], [(3, 11)], [(0, 3)], [(3, 13), (0, 5)], [(2, 3)], [(3, 13)], [(3, 12)]]","[[' ZZ'], [' ZZ', ' ZZ'], [' ZZ', ' ZZ'], [' ZZ', ' ZZ', ' ZZ swap'], [' ZZ', ' swap'], [' swap'], [' ZZ'], [' ZZ', ' ZZ'], [' ZZ swap'], [' ZZ'], [' ZZ']]","[[3, 12]]"
tket,0,10,"[[(4, 5)], [(5, 13), (4, 12)], [(3, 13), (5, 14)], [(0, 3), (4, 14), (13, 17)], [(3, 12), (5, 14)], [(3, 11)], [(0, 3)], [(3, 13), (0, 5)], [(2, 3)], [(3, 13)], [(3, 12)]]","[[' ZZ'], [' ZZ', ' ZZ'], [' ZZ', ' ZZ'], [' ZZ', ' ZZ', ' ZZ swap'], [' ZZ', ' swap'], [' swap'], [' ZZ'], [' ZZ', ' ZZ'], [' ZZ swap'], [' ZZ'], [' ZZ']]",[]
tket,7,10,"[[(4, 5)], [(5, 13), (4, 12)], [(3, 13), (5, 14)], [(0, 3), (4, 14), (13, 17)], [(3, 12), (5, 14)], [(3, 11)], [(0, 3)], [(3, 13), (0, 5)], [(2, 3)], [(3, 13)], [(3, 12)]]","[[' ZZ'], [' ZZ', ' ZZ'], [' ZZ', ' ZZ'], [' ZZ', ' ZZ', ' ZZ swap'], [' ZZ', ' swap'], [' swap'], [' ZZ'], [' ZZ', ' ZZ'], [' ZZ swap'], [' ZZ'], [' ZZ']]","[[3, 13], [4, 14], [6, 14], [3, 11], [9, 14], [0, 3], [0, 5]]"
tket,6,10,"[[(4, 5)], [(5, 13), (4, 12)], [(3, 13), (5, 14)], [(0, 3), (4, 14), (13, 17)], [(3, 12), (5, 14)], [(3, 11)], [(0, 3)], [(3, 13), (0, 5)], [(2, 3)], [(3, 13)], [(3, 12)]]","[[' ZZ'], [' ZZ', ' ZZ'], [' ZZ', ' ZZ'], [' ZZ', ' ZZ', ' ZZ swap'], [' ZZ', ' swap'], [' swap'], [' ZZ'], [' ZZ', ' ZZ'], [' ZZ swap'], [' ZZ'], [' ZZ']]","[[4, 12], [4, 14], [5, 14], [6, 14], [12, 17], [14, 17]]"
