compiler,#e,M,gates,gate_spec,coupling
tket,8,10,"[[(4, 5), (12, 13)], [(0, 4), (5, 14), (12, 17)], [(5, 15), (3, 4), (11, 12)], [(0, 5), (4, 13)], [(5, 14), (12, 13)], [(4, 5), (12, 17)], [(14, 17), (5, 15)], [(14, 15)]]","[[' ZZ', ' ZZ'], [' ZZ', ' ZZ', ' ZZ'], [' ZZ', ' ZZ swap', ' ZZ swap'], [' swap', ' ZZ'], [' swap', ' ZZ'], [' ZZ', ' ZZ'], [' ZZ', ' ZZ'], [' ZZ']]","[[4, 12], [4, 13], [5, 14], [3, 11], [0, 3], [0, 5], [12, 17], [14, 17]]"
tket,10,10,"[[(4, 14), (12, 13)], [(3, 4), (12, 17), (5, 14)], [(0, 4), (3, 13), (11, 12), (14, 15)], [(0, 3), (12, 17)], [(0, 5), (3, 11)], [(11, 12), (5, 15)], [(12, 13), (14, 15)], [(13, 14)]]","[[' ZZ', ' ZZ'], [' ZZ', ' ZZ', ' ZZ'], [' ZZ', ' swap', ' ZZ', ' ZZ'], [' ZZ', ' swap'], [' ZZ', ' ZZ'], [' ZZ', ' ZZ'], [' ZZ', ' swap'], [' ZZ']]","[[3, 12], [3, 13], [4, 14], [5, 14], [6, 14], [9, 14], [0, 3], [0, 5], [12, 17], [14, 17]]"
tket,5,10,"[[(4, 14), (12, 13)], [(3, 4), (12, 17), (5, 14)], [(0, 4), (3, 13), (2, 12), (14, 15)], [(0, 3), (12, 17)], [(2, 3), (0, 5)], [(2, 12), (5, 15)], [(12, 13), (14, 15)], [(13, 14)]]","[[' ZZ', ' ZZ'], [' ZZ', ' ZZ', ' ZZ'], [' ZZ', ' swap', ' ZZ', ' ZZ'], [' ZZ', ' swap'], [' ZZ', ' ZZ'], [' ZZ', ' ZZ'], [' ZZ', ' swap'], [' ZZ']]","[[3, 13], [5, 14], [2, 12], [12, 17], [14, 17]]"
tket,4,10,"[[(4, 14), (12, 13)], [(3, 4), (12, 17), (5, 14)], [(0, 4), (3, 13), (2, 12), (14, 15)], [(0, 3), (12, 17)], [(2, 3), (0, 5)], [(2, 12), (5, 15)], [(12, 13), (14, 15)], [(13, 14)]]","[[' ZZ', ' ZZ'], [' ZZ', ' ZZ', ' ZZ'], [' ZZ', ' swap', ' ZZ', ' ZZ'], [' ZZ', ' swap'], [' ZZ', ' ZZ'], [' ZZ', ' ZZ'], [' ZZ', ' swap'], [' ZZ']]","[[3, 8], [4, 13], [4, 14], [5, 14]]"
tket,3,10,"[[(4, 14), (12, 13)], [(3, 4), (12, 17), (5, 14)], [(0, 4), (3, 13), (2, 12), (14, 15)], [(0, 3), (12, 17)], [(2, 3), (0, 5)], [(2, 12), (5, 15)], [(12, 13), (14, 15)], [(13, 14)]]","[[' ZZ', ' ZZ'], [' ZZ', ' ZZ', ' ZZ'], [' ZZ', ' swap', ' ZZ', ' ZZ'], [' ZZ', ' swap'], [' ZZ', ' ZZ'], [' ZZ', ' ZZ'], [' ZZ', ' swap'], [' ZZ']]","[[4, 13], [6, 14], [9, 16]]"
tket,2,10,"[[(4, 14), (12, 13)], [(3, 4), (12, 17), (5, 14)], [(0, 4), (3, 13), (2, 12), (14, 15)], [(0, 3), (12, 17)], [(2, 3), (0, 5)], [(2, 12), (5, 15)], [(12, 13), (14, 15)], [(13, 14)]]","[[' ZZ', ' ZZ'], [' ZZ', ' ZZ', ' ZZ'], [' ZZ', ' swap', ' ZZ', ' ZZ'], [' ZZ', ' swap'], [' ZZ', ' ZZ'], [' ZZ', ' ZZ'], [' ZZ', ' swap'], [' ZZ']]","[[4, 12], [6, 14]]"
tket,1,10,"[[(4, 14), (12, 13)], [(3, 4), (12, 17), (5, 14)], [(0, 4), (3, 13), (2, 12), (14, 15)], [(0, 3), (12, 17)], [(2, 3), (0, 5)], [(2, 12), (5, 15)], [(12, 13), (14, 15)], [(13, 14)]]","[[' ZZ', ' ZZ'], [' ZZ', ' ZZ', ' ZZ'], [' ZZ', ' swap', ' ZZ', ' ZZ'], [' ZZ', ' swap'], [' ZZ', ' ZZ'], [' ZZ', ' ZZ'], [' ZZ', ' swap'], [' ZZ']]","[[4, 13]]"
tket,0,10,"[[(4, 14), (12, 13)], [(3, 4), (12, 17), (5, 14)], [(0, 4), (3, 13), (2, 12), (14, 15)], [(0, 3), (12, 17)], [(2, 3), (0, 5)], [(2, 12), (5, 15)], [(12, 13), (14, 15)], [(13, 14)]]","[[' ZZ', ' ZZ'], [' ZZ', ' ZZ', ' ZZ'], [' ZZ', ' swap', ' ZZ', ' ZZ'], [' ZZ', ' swap'], [' ZZ', ' ZZ'], [' ZZ', ' ZZ'], [' ZZ', ' swap'], [' ZZ']]",[]
tket,7,10,"[[(4, 14), (12, 13)], [(3, 4), (12, 17), (5, 14)], [(0, 4), (3, 13), (2, 12), (14, 15)], [(0, 3), (12, 17)], [(2, 3), (0, 5)], [(2, 12), (5, 15)], [(12, 13), (14, 15)], [(13, 14)]]","[[' ZZ', ' ZZ'], [' ZZ', ' ZZ', ' ZZ'], [' ZZ', ' swap', ' ZZ', ' ZZ'], [' ZZ', ' swap'], [' ZZ', ' ZZ'], [' ZZ', ' ZZ'], [' ZZ', ' swap'], [' ZZ']]","[[3, 8], [8, 12], [4, 13], [4, 14], [12, 17], [14, 17], [8, 10]]"
tket,6,10,"[[(4, 14), (12, 13)], [(3, 4), (12, 17), (5, 14)], [(0, 4), (3, 13), (2, 12), (14, 15)], [(0, 3), (12, 17)], [(2, 3), (0, 5)], [(2, 12), (5, 15)], [(12, 13), (14, 15)], [(13, 14)]]","[[' ZZ', ' ZZ'], [' ZZ', ' ZZ', ' ZZ'], [' ZZ', ' swap', ' ZZ', ' ZZ'], [' ZZ', ' swap'], [' ZZ', ' ZZ'], [' ZZ', ' ZZ'], [' ZZ', ' swap'], [' ZZ']]","[[4, 12], [5, 15], [5, 9], [0, 5], [12, 17], [14, 17]]"
