mode,#e,M,gates,gate_spec,coupling
normal,0,8,"[[(3, 4), (1, 2)], [(0, 4), (2, 3)], [(4, 5), (2, 8)], [(3, 4), (8, 11)], [(2, 3), (0, 4)], [(1, 2), (3, 4)], [(2, 8)], [(1, 2)], [(2, 3)]]","[[' ZZ', ' ZZ'], [' ZZ', ' swap'], [' swap ZZ', ' swap ZZ'], [' ZZ', ' swap ZZ'], [' ZZ', ' swap ZZ'], [' ZZ', ' swap'], [' swap'], [' ZZ'], [' ZZ']]",[]
normal,1,8,"[[(13, 14), (9, 15)], [(5, 14), (13, 17)], [(13, 14), (5, 6)], [(6, 9), (14, 15), (13, 17), (4, 5)], [(9, 15), (13, 14)], [(6, 9)], [(5, 6)], [(5, 14)]]","[[' ZZ', ' ZZ'], [' swap', ' ZZ'], [' ZZ', ' ZZ'], [' swap', ' ZZ', ' swap', ' swap ZZ'], [' ZZ', ' swap ZZ'], [' ZZ'], [' ZZ'], [' ZZ']]","[[5, 14]]"
normal,2,8,"[[(5, 13), (9, 15)], [(13, 17), (5, 6)], [(13, 14), (6, 9), (4, 5)], [(14, 15), (13, 17)], [(9, 15), (13, 14)], [(6, 9)], [(5, 6)], [(5, 13)]]","[[' ZZ', ' ZZ'], [' ZZ', ' ZZ'], [' ZZ', ' swap', ' ZZ swap'], [' ZZ', ' swap'], [' ZZ', ' ZZ'], [' ZZ'], [' ZZ'], [' ZZ']]","[[5, 13], [6, 14]]"
normal,3,8,"[[(13, 14), (6, 9)], [(4, 13), (14, 15)], [(5, 13), (9, 15)], [(12, 13), (5, 6)], [(6, 9), (4, 5), (13, 14)], [(5, 13), (9, 15)], [(5, 15)], [(4, 5)]]","[[' ZZ', ' ZZ'], [' ZZ', ' ZZ'], [' ZZ', ' swap'], [' swap', ' ZZ'], [' ZZ', ' ZZ', ' ZZ'], [' swap', ' ZZ'], [' ZZ'], [' ZZ']]","[[4, 13], [5, 13], [5, 15]]"
normal,4,8,"[[(3, 4), (11, 12)], [(2, 3), (4, 13)], [(3, 8), (12, 13), (0, 4)], [(8, 11)], [(11, 12), (2, 8)], [(12, 13), (2, 3)], [(4, 13)], [(3, 4)]]","[[' ZZ', ' ZZ'], [' ZZ', ' ZZ'], [' ZZ', ' swap', ' swap ZZ'], [' ZZ'], [' ZZ', ' ZZ'], [' ZZ', ' swap'], [' ZZ'], [' ZZ']]","[[3, 8], [3, 13], [4, 13], [3, 11]]"
normal,5,8,"[[(5, 6), (14, 15)], [(0, 5), (6, 7)], [(0, 4), (6, 9)], [(4, 14), (9, 15), (0, 5), (6, 7)], [(14, 15), (6, 9)], [(4, 14)], [(4, 5)], [(5, 6)]]","[[' ZZ', ' ZZ'], [' swap', ' ZZ'], [' ZZ', ' ZZ'], [' swap', ' ZZ', ' ZZ', ' swap'], [' ZZ', ' ZZ'], [' ZZ'], [' ZZ'], [' ZZ']]","[[4, 14], [5, 14], [9, 14], [0, 5], [9, 16]]"
normal,6,8,"[[(6, 14), (4, 13)], [(14, 17), (6, 9)], [(5, 6), (12, 17)], [(4, 5), (6, 9), (14, 17)], [(4, 12), (5, 6)], [(12, 13)], [(13, 14)], [(6, 14)]]","[[' ZZ', ' ZZ'], [' swap', ' ZZ'], [' ZZ', ' ZZ'], [' ZZ', ' swap', ' ZZ'], [' ZZ', ' ZZ'], [' ZZ'], [' ZZ'], [' ZZ']]","[[4, 12], [4, 13], [4, 14], [6, 14], [12, 17], [14, 17]]"
normal,7,8,"[[(4, 12), (13, 14)], [(0, 4), (12, 17)], [(4, 5)], [(3, 4), (5, 14)], [(14, 17), (4, 12), (0, 5)], [(13, 17)], [(4, 13)], [(0, 4)]]","[[' ZZ', ' ZZ'], [' ZZ', ' ZZ'], [' ZZ'], [' swap', ' ZZ'], [' ZZ', ' ZZ', ' ZZ'], [' ZZ'], [' ZZ'], [' ZZ']]","[[4, 12], [4, 13], [5, 13], [5, 14], [0, 5], [12, 17], [14, 17]]"
