#e,compiler,fidelity no crosstalk,fidelity,g1,g2,D,avg idling time,idling time,qubit lifetime,avg two qubit gate fidelity,two qubit gate fidelity,gates,gate_spec
0,tket,0.008831606707057876,0.00736826537157934,126,51,24865,11312.857142857143,"[16740, 20710, 0, 50, 4085, 20865, 16740]","[20770, 20795, 25, 4060, 4110, 24865, 20770]",0.9874901960784311,"[0.981, 0.9855, 0.9855, 0.981, 0.9855, 0.9855, 0.981, 0.9855, 0.9855, 0.9905, 0.9905, 0.9905, 0.9905, 0.9905, 0.9905, 0.986, 0.986, 0.986, 0.986, 0.986, 0.986, 0.986, 0.986, 0.986, 0.986, 0.986, 0.986, 0.9905, 0.9905, 0.9905, 0.9905, 0.9905, 0.9905, 0.991, 0.986, 0.986, 0.986, 0.986, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.986, 0.986, 0.986, 0.986, 0.986, 0.986]","[[2], [3], (2, 3), [2], [3], (2, 3), [2], [3], (2, 3), [2], [3], [0], [4], (0, 4), [0], [4], (0, 4), [0], [4], (0, 4), [0], [4], [5], [6], (5, 6), [5], [6], (5, 6), [5], [6], (5, 6), [5], [6], [8], (2, 8), [2], [8], (2, 8), [2], [8], (2, 8), [2], [8], (4, 5), [4], [5], (4, 5), [4], [5], (4, 5), [4], [5], [6], (3, 4), [3], [4], (3, 4), [3], [4], (3, 4), [3], [4], [1], (1, 2), [1], [2], (1, 2), [1], [2], (1, 2), [1], [2], (0, 4), [0], [4], (0, 4), [0], [4], (0, 4), [0], [4], (2, 3), [2], [3], (2, 3), [2], [3], (2, 3), [2], [3], [0], [2], [2], (1, 2), [1], [2], (1, 2), [1], [2], (1, 2), [1], [2], (2, 8), [2], [8], (2, 8), [2], [8], (2, 8), [2], [8], [8], [2], [3], [4], [5], [2], [3], (2, 3), [2], [3], (2, 3), [2], [3], (2, 3), [2], [3], [4], [5], (4, 5), [4], [5], (4, 5), [4], [5], (4, 5), [4], [5], [3], [3], (2, 3), [2], [3], (2, 3), [2], [3], (2, 3), [2], [3], (3, 4), [3], [4], (3, 4), [3], [4], (3, 4), [3], [4], [4], [3], [5], [4], [5], (4, 5), [4], [5], (4, 5), [4], [5], (4, 5), [4], [5], [3], (3, 4), [3], [4], (3, 4), [3], [4], (3, 4), [3], [4], [3], [4]]","['sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'm3', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'm0', 'm2', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'm1', 'v2', 'v3', 'v1', 'v0', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'm5', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'm4', 'v5', 'v4', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'm6', 'v6']"
1,tket,0.003439531474561955,0.0029761084309739036,139,57,25445,12796.42857142857,"[25390, 12735, 4290, 8380, 21390, 95, 17295]","[25445, 12790, 8320, 8405, 25420, 120, 21325]",0.9884912280701753,"[0.986, 0.986, 0.986, 0.986, 0.986, 0.986, 0.991, 0.991, 0.991, 0.986, 0.986, 0.9855, 0.9855, 0.981, 0.9855, 0.9855, 0.981, 0.986, 0.986, 0.986, 0.986, 0.986, 0.986, 0.9905, 0.9905, 0.986, 0.986, 0.986, 0.986, 0.986, 0.986, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991]","[[2], [12], (2, 12), [2], [12], (2, 12), [2], [12], (2, 12), [2], [12], [3], [4], (3, 4), [3], [4], (3, 4), [3], [4], (3, 4), [3], [4], [8], (2, 8), [2], [8], (2, 8), [2], [8], (2, 8), [2], [8], [1], (1, 2), [1], [2], (1, 2), [1], [2], (1, 2), [1], [2], (2, 3), [2], [3], (2, 3), [2], [3], (2, 3), [2], [3], (2, 12), [2], [12], (2, 12), [2], [12], (2, 12), [2], [12], (3, 4), [3], [4], (3, 4), [3], [4], (3, 4), [3], [4], (1, 2), [1], [2], (1, 2), [1], [2], (1, 2), [1], [2], [4], [12], [0], [4], (0, 4), [0], [4], (0, 4), [0], [4], (0, 4), [0], [4], [5], (4, 5), [4], [5], (4, 5), [4], [5], (4, 5), [4], [5], (3, 4), [3], [4], (3, 4), [3], [4], (3, 4), [3], [4], [5], (2, 3), [2], [3], (2, 3), [2], [3], (2, 3), [2], [3], [2], [1], [3], [4], [8], [1], [2], (1, 2), [1], [2], (1, 2), [1], [2], (1, 2), [1], [2], [3], [4], (3, 4), [3], [4], (3, 4), [3], [4], (3, 4), [3], [4], [8], (2, 8), [2], [8], (2, 8), [2], [8], (2, 8), [2], [8], [3], [3], (3, 4), [3], [4], (3, 4), [3], [4], (3, 4), [3], [4], (2, 3), [2], [3], (2, 3), [2], [3], (2, 3), [2], [3], [2], [3], [8], [2], [8], (2, 8), [2], [8], (2, 8), [2], [8], (2, 8), [2], [8], [3], (2, 3), [2], [3], (2, 3), [2], [3], (2, 3), [2], [3], [3], [2]]","['sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'm1', 'm0', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'm3', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'm2', 'v1', 'v3', 'v2', 'v0', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'm5', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'm4', 'v5', 'v4', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'm6', 'v6']"
2,tket,0.015950831211272512,0.013509363065886371,119,48,24890,10801.42857142857,"[20890, 12645, 8495, 12470, 16795, 0, 4315]","[24890, 12670, 12495, 12495, 20795, 4000, 8345]",0.9875833333333333,"[0.986, 0.9805, 0.981, 0.9855, 0.986, 0.9805, 0.981, 0.9855, 0.986, 0.9805, 0.981, 0.9855, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.986, 0.986, 0.986, 0.981, 0.986, 0.986, 0.981, 0.986, 0.9905, 0.9905, 0.986, 0.986, 0.991, 0.986, 0.986, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991]","[[3], [4], (3, 4), [3], [4], (3, 4), [3], [4], (3, 4), [3], [4], [5], [6], (5, 6), [5], [6], (5, 6), [5], [6], (5, 6), [5], [6], [9], [14], (9, 14), [9], [14], (9, 14), [9], [14], (9, 14), [9], [14], [15], [16], (15, 16), [15], [16], (15, 16), [15], [16], (15, 16), [15], [16], [3], (4, 5), [4], [5], (4, 5), [4], [5], (4, 5), [4], [5], (14, 15), [14], [15], (14, 15), [14], [15], (14, 15), [14], [15], [5], [14], (15, 16), [15], [16], (15, 16), [15], [16], (15, 16), [15], [16], (9, 15), [9], [15], (9, 15), [9], [15], (9, 15), [9], [15], (6, 9), [6], [9], (6, 9), [6], [9], (6, 9), [6], [9], [9], [4], [6], [15], [16], [4], [5], (4, 5), [4], [5], (4, 5), [4], [5], (4, 5), [4], [5], [15], [16], (15, 16), [15], [16], (15, 16), [15], [16], (15, 16), [15], [16], [6], (5, 6), [5], [6], (5, 6), [5], [6], (5, 6), [5], [6], [5], [9], (6, 9), [6], [9], (6, 9), [6], [9], (6, 9), [6], [9], (9, 15), [9], [15], (9, 15), [9], [15], (9, 15), [9], [15], (15, 16), [15], [16], (15, 16), [15], [16], (15, 16), [15], [16], [16], [9], [15], [9], [15], (9, 15), [9], [15], (9, 15), [9], [15], (9, 15), [9], [15], [15], [9]]","['sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'm3', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'm2', 'm0', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'm1', 'v3', 'v2', 'v0', 'v1', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'm5', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'm4', 'v4', 'v5', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'm6', 'v6']"
3,tket,0.004474693415409528,0.003631752557314128,118,48,25050,12620.714285714286,"[24995, 12580, 8525, 20995, 4350, 16900, 0]","[25050, 16580, 12555, 25025, 8380, 20930, 4000]",0.9867083333333332,"[0.9855, 0.981, 0.9855, 0.9855, 0.981, 0.9855, 0.9855, 0.981, 0.9855, 0.991, 0.991, 0.991, 0.986, 0.986, 0.981, 0.981, 0.981, 0.981, 0.981, 0.981, 0.9855, 0.981, 0.9855, 0.9855, 0.981, 0.9855, 0.9855, 0.981, 0.9855, 0.986, 0.986, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991]","[[8], [12], (8, 12), [8], [12], (8, 12), [8], [12], (8, 12), [8], [12], [10], [11], (10, 11), [10], [11], (10, 11), [10], [11], (10, 11), [10], [11], [2], [3], (2, 3), [2], [3], (2, 3), [2], [3], (2, 3), [2], [3], (8, 11), [8], [11], (8, 11), [8], [11], (8, 11), [8], [11], [8], [8], (2, 8), [2], [8], (2, 8), [2], [8], (2, 8), [2], [8], [1], (1, 2), [1], [2], (1, 2), [1], [2], (1, 2), [1], [2], (8, 11), [8], [11], (8, 11), [8], [11], (8, 11), [8], [11], (2, 3), [2], [3], (2, 3), [2], [3], (2, 3), [2], [3], (10, 11), [10], [11], (10, 11), [10], [11], (10, 11), [10], [11], [4], (3, 4), [3], [4], (3, 4), [3], [4], (3, 4), [3], [4], [10], (2, 3), [2], [3], (2, 3), [2], [3], (2, 3), [2], [3], [4], [2], [3], [8], [11], [12], [8], [12], (8, 12), [8], [12], (8, 12), [8], [12], (8, 12), [8], [12], [11], (11, 12), [11], [12], (11, 12), [11], [12], (11, 12), [11], [12], [3], (3, 12), [3], [12], (3, 12), [3], [12], (3, 12), [3], [12], [3], (8, 12), [8], [12], (8, 12), [8], [12], (8, 12), [8], [12], [8], [11], [12], [11], [12], (11, 12), [11], [12], (11, 12), [11], [12], (11, 12), [11], [12], [12], [11]]","['sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'm0', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'm1', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'm3', 'm2', 'v3', 'v1', 'v2', 'v0', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'm5', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'm4', 'v4', 'v5', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'm6', 'v6']"
4,tket,0.021967463274781943,0.018702043819097153,119,48,24865,11067.5,"[16740, 20835, 8320, 16390, 0, 4120]","[20770, 24865, 12320, 16445, 4000, 8120]",0.9876874999999999,"[0.9855, 0.981, 0.9855, 0.9855, 0.981, 0.9855, 0.9855, 0.981, 0.9855, 0.9905, 0.9855, 0.986, 0.9905, 0.9855, 0.986, 0.9905, 0.9855, 0.986, 0.991, 0.9905, 0.9905, 0.9905, 0.9905, 0.9905, 0.9905, 0.986, 0.986, 0.986, 0.986, 0.991, 0.991, 0.986, 0.986, 0.991, 0.986, 0.986, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.986, 0.986, 0.986, 0.986, 0.991]","[[4], [5], (4, 5), [4], [5], (4, 5), [4], [5], (4, 5), [4], [5], [6], [14], (6, 14), [6], [14], (6, 14), [6], [14], (6, 14), [6], [14], [9], [15], (9, 15), [9], [15], (9, 15), [9], [15], (9, 15), [9], [15], [0], (0, 4), [0], [4], (0, 4), [0], [4], (0, 4), [0], [4], (6, 9), [6], [9], (6, 9), [6], [9], (6, 9), [6], [9], (14, 15), [14], [15], (14, 15), [14], [15], (14, 15), [14], [15], [3], (3, 4), [3], [4], (3, 4), [3], [4], (3, 4), [3], [4], [6], (0, 4), [0], [4], (0, 4), [0], [4], (0, 4), [0], [4], [3], [6], (14, 6), [14], [6], (14, 6), [14], [6], (14, 6), [14], [6], [0], (6, 5), [6], [5], (6, 5), [6], [5], (6, 5), [6], [5], [6], [4], [5], [9], [15], [4], [5], (4, 5), [4], [5], (4, 5), [4], [5], (4, 5), [4], [5], [9], [15], (9, 15), [9], [15], (9, 15), [9], [15], (9, 15), [9], [15], [4], [6], (5, 6), [5], [6], (5, 6), [5], [6], (5, 6), [5], [6], (6, 9), [6], [9], (6, 9), [6], [9], (6, 9), [6], [9], [9], [6], [15], [15], (14, 15), [14], [15], (14, 15), [14], [15], (14, 15), [14], [15], [6], (6, 14), [6], [14], (6, 14), [6], [14], (6, 14), [6], [14], [6], [14]]","['sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'm0', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'm3', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'm2', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'm1', 'v3', 'v2', 'v1', 'v0', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'm5', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'm4', 'v5', 'v4', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'm6', 'v6']"
