M,D,g1,g2,f,crosstalk,f_ct,#extra_e,extra_edge,f_dec_ratio,ct_ratio,f_imp_r,f_imp_r_ct
8,30,12,33,0.6031031188532574,16,0.5561707550548068,0,[],0.07781814142776768,0.48484848484848486,0.0,0.0
8,27,12,30,0.6328536529065784,12,0.595546562238414,1,"[[5, 8]]",0.05895058122335222,0.4,0.049329099988553754,0.0707980540611613
8,27,12,27,0.6483237637123122,16,0.597872413376765,2,"[[8, 13], [5, 8]]",0.07781814142776738,0.5925925925925926,0.07497995524386851,0.07497995524386884
8,25,12,24,0.6748842633685674,16,0.6223660243143776,3,"[[3, 6], [7, 10], [5, 10]]",0.07781814142776745,0.6666666666666666,0.11901968713376078,0.11901968713376104
8,24,12,24,0.6803049914774323,16,0.6273649214366254,4,"[[1, 4], [2, 7], [4, 9], [7, 10]]",0.0778181414277674,0.6666666666666666,0.12800774894178432,0.12800774894178465
8,24,12,24,0.6803049914774323,16,0.6273649214366254,4,"[[1, 4], [2, 7], [4, 9], [7, 10]]",0.0778181414277674,0.6666666666666666,0.12800774894178432,0.12800774894178465
