choose by best csf
#e,edge list,f,f_imp_r,csf_imp_r
2,"[[10, 13], [5, 10]]",0.36821834403742404,0.15524046771270575,1.1154045895157159
choose by best csf_ct
#e,edge list,f_ct,f_imp_r_ct,csf_imp_r_ct
4,"[[8, 13], [9, 14], [5, 8], [6, 9]]",0.29583270410934515,0.1834868404000943,1.1045877177067547
choose by largest f_imp with csf > 1
#e,edge list,f,f_imp_r,csf_imp_r
4,"[[8, 13], [9, 14], [5, 8], [6, 9]]",0.3772215194512902,0.1834868404000946,1.104587717706755
choose by largest f_ct_imp with csf_ct > 1
#e,edge list,f_ct,f_imp_r_ct,csf_imp_r_ct
4,"[[8, 13], [9, 14], [5, 8], [6, 9]]",0.29583270410934515,0.1834868404000943,1.1045877177067547
